Case ID,Closeness Centrality,Eigenvector Centrality,Betweenness Centrality
97339,0.18959676,0.000157568,1.49E-06
97340,0.216901598,0.002564548,2.61E-05
97341,0.204404109,0.0003291,5.24E-05
97342,0.179296594,1.34E-05,3.40E-06
97343,0.183440468,1.71E-05,7.42E-06
97344,0.194043801,0.000178378,3.43E-06
97345,0.232809114,0.003497267,0.000541191
97346,0,0,0
97347,0.211631921,0.001148921,2.88E-05
97348,0.234129226,0.008140215,0.000114803
97349,0.21326763,0.000502112,3.80E-05
97350,0.202158685,0.000762024,3.80E-06
97351,0.206448132,0.001067976,3.93E-06
97352,0.193639715,0.000192699,5.99E-06
97353,0.217555538,0.001626868,0.000165094
97354,0.166681188,2.03E-06,5.39E-05
97355,0.163911429,1.21E-06,1.14E-06
97356,0.250075537,0.009844053,0.000519838
97357,0.213895809,0.000551485,0.000143332
97358,0.198588886,0.000103806,0.000278892
97359,0.161000714,1.77E-06,5.23E-08
97360,0.178571558,1.38E-05,3.36E-05
97361,0.212575943,0.000747826,7.32E-05
97362,0.218319648,0.002479031,2.01E-05
97363,0.236286497,0.003196906,0.000740726
97364,0.199731587,0.000465844,3.99E-06
97365,0.235709452,0.011014204,0.000662175
97366,0.19695085,0.000115342,2.25E-05
97367,0.187171959,7.18E-05,1.09E-06
97368,0.230229271,0.006714211,0.000123758
97369,0.172469724,5.45E-05,0
97370,0.187069403,0.000123401,5.27E-07
97371,0.213658062,0.000451868,3.98E-05
97372,0,0,0
97373,0.225479398,0.00374026,9.14E-05
97374,0.247582685,0.017860517,0.00135455
97375,0.172344977,6.15E-06,6.56E-07
97376,0.157891297,9.93E-07,8.21E-06
97377,0.184404652,6.54E-05,1.21E-06
97378,0.241367712,0.00643026,0.00127057
97379,0.171249556,9.14E-06,0
97380,0.185895763,4.89E-05,4.56E-06
97381,0.188948394,6.59E-05,0
97382,0.194446272,0.000135199,0.000100389
97384,0,0,0
97385,0.199682768,0.000202527,2.76E-05
97386,0.205117104,0.000477008,1.75E-05
97387,0.193426852,0.000185309,0
97388,0.21293609,0.000790845,7.46E-06
97389,0.206161592,0.000278629,8.18E-07
97390,0.197074717,0.000286301,0
97391,0,0,0
97392,0.18874883,8.43E-05,3.26E-05
97393,0.162184467,1.34E-06,5.48E-05
97394,0.190725472,4.53E-05,2.15E-05
97395,0.211059785,0.001180669,2.34E-05
97396,0.208216453,0.000330915,0.000188575
97397,0.193815269,0.00016861,2.01E-05
97398,0.223278504,0.001981431,0.00016465
97399,0.210676842,0.000413536,0.000182092
97400,0.180584665,1.60E-05,7.39E-05
97401,0.195039814,7.08E-05,5.18E-05
97402,0.1974643,0.000188716,2.71E-05
97403,0.196338897,0.000136095,1.54E-05
97404,0.193846475,7.08E-05,0.000100204
97405,0.171030606,3.87E-06,4.99E-05
97406,0.182833457,4.23E-05,4.05E-05
97407,0.207566508,0.000614145,6.66E-05
97408,0.223437715,0.002071528,0.000130396
97409,0.199597392,0.000211013,1.09E-05
97410,0.192516849,0.000105096,5.64E-06
97411,0.172986217,2.97E-05,6.52E-09
97412,0.192183655,0.000937081,2.03E-06
97413,0.207968465,0.000427464,7.03E-05
97414,0.207057339,0.000189635,9.34E-05
97415,0.194220089,0.000127355,1.13E-05
97416,0.243536571,0.007723709,0.000750773
97417,0.209684204,0.000665307,1.86E-06
97418,0.205422881,0.000497724,2.04E-06
97419,0.180616034,1.74E-05,3.20E-06
97420,0.191245303,6.37E-05,4.49E-06
97421,0.219311801,0.002201946,4.83E-05
97422,0.173972951,1.22E-05,2.59E-06
97423,0.198380493,0.000968825,1.67E-05
97424,0.206948689,0.00101536,1.62E-05
97425,0.230442653,0.00202156,0.00050841
97426,0.208981157,0.000301822,6.57E-05
621715,0.181939118,0.000612161,1.18E-08
97428,0.155007823,6.71E-07,1.02E-07
97429,0.202403747,0.000538033,8.45E-06
97430,0.192143297,0.000135292,3.20E-06
97431,0.216126943,0.003933872,2.94E-05
97432,0.188380435,0.000554748,5.00E-08
97433,0.205041721,0.000431313,7.80E-06
97434,0.17327581,1.32E-05,5.42E-08
97435,0.217474872,0.000904807,0.000168703
97437,0.237178283,0.006804488,0.00050094
97438,0.213759889,0.000960256,6.70E-06
97439,0.20013876,0.000828938,1.27E-06
97440,0.200408792,0.000203314,6.95E-06
97441,0.188875068,0.000114301,9.92E-07
97442,0.182340849,4.21E-05,3.68E-06
97443,0.157776946,7.67E-07,2.45E-08
97444,0.206107723,0.000672498,5.79E-05
97445,0.165542477,5.32E-06,0
97446,0.197384217,0.00012309,7.09E-05
97447,0.151835726,1.80E-06,0
97448,0.231358634,0.004130046,0.000237495
97449,0.204181517,0.00036598,4.04E-05
97450,0.199348649,0.000712168,2.10E-05
97451,0.233391077,0.004636501,0.000259055
97452,0.18744497,3.86E-05,3.27E-05
97453,0.232338549,0.00345869,0.000118576
97454,0.202333924,0.000296721,9.10E-06
97455,0.200252646,0.000374574,3.45E-06
97456,0.207207387,0.000752405,2.11E-05
97457,0,0,0
97458,0.176221896,4.98E-05,2.38E-07
97459,0.203775896,0.000253071,0
97460,0.232463689,0.004564649,0.000163693
97461,0.193608575,0.000695619,1.67E-07
97462,0.191434162,0.000113083,6.00E-05
97463,0.204779233,0.000256182,4.44E-05
97464,0.203453283,0.000400515,3.50E-05
97465,0.172083079,1.05E-05,4.99E-05
97466,0.20093869,0.00033973,4.15E-05
97467,0.205616765,0.000712676,6.94E-06
97468,0.193237307,0.000460624,0
97469,0.16596887,4.46E-06,0
97470,0.199317383,0.000199003,4.70E-05
97471,0.181459947,5.25E-05,4.62E-05
97472,0.187620238,3.08E-05,7.51E-05
97473,0.158180633,1.09E-06,0
97474,0,0,0
97475,0.12145149,2.05E-09,0
97476,0.203203869,0.001456528,1.24E-05
97477,0.14179504,5.83E-08,0
97478,0.185728224,4.98E-05,4.70E-06
97479,0.119205905,1.29E-09,0
97480,0.191114282,5.54E-05,2.04E-05
97481,0.187948594,0.00016336,6.93E-07
97482,0.179822333,2.48E-05,1.91E-05
97483,0.179542871,2.02E-05,5.94E-05
97484,0.190779555,6.77E-05,4.93E-06
97485,0.205004969,0.000471785,7.86E-05
97486,0.200235117,8.80E-05,7.25E-05
97487,0.212187484,0.000812465,4.06E-05
97488,0.192172353,0.000378994,6.25E-07
97489,0.181947801,5.33E-05,2.73E-06
97490,0.193788998,5.65E-05,8.29E-05
97491,0.207856969,0.001655231,2.39E-05
97492,0.183511107,2.59E-05,2.77E-05
97493,0.201235667,0.000369056,1.88E-06
97494,0.193381066,0.000177465,0
97495,0.181390878,6.19E-05,5.14E-05
97496,0.182117285,5.23E-05,1.28E-07
97497,0.169177504,3.43E-06,2.46E-06
97498,0.183093949,2.50E-05,5.93E-05
97499,0,0,0
97500,0.205935157,0.00016226,0.000245946
97501,0.183308166,0.000173278,8.71E-08
97502,0.182146288,1.63E-05,3.76E-06
97503,0.197665648,0.000135031,6.68E-05
97504,0.171448505,7.41E-06,8.92E-07
97505,0.179861923,6.06E-05,2.17E-08
97506,0.217319914,0.001654365,5.90E-05
97507,0.22382469,0.001961973,8.98E-05
97508,0.159518679,5.49E-06,0
97509,0.17515992,8.58E-06,0.000111697
97510,0.137441474,8.49E-08,9.05E-10
97511,0.194850416,0.000461981,1.11E-07
97512,0.179898701,5.16E-05,0
97513,0.185257416,4.31E-05,1.11E-05
97514,0.187777336,0.000174192,3.25E-06
97515,0.17736969,9.24E-06,5.49E-05
97516,0.200852236,0.000155662,3.57E-05
97517,0.16660956,1.34E-05,0
97518,0.194007595,9.15E-05,3.91E-06
97519,0.168301214,3.29E-06,0
97520,0.214965177,0.000716197,3.89E-05
97521,0.212518669,0.000350523,7.08E-05
