,mod,wt,km_10,km_100,gmm_10,gmm_100
105401,0,12,2,36,1,2
105408,2,30,3,56,8,49
105409,2,1,9,11,3,76
106663,1,1,3,18,8,92
106662,1,1,2,49,8,44
106661,1,1,3,84,8,46
106660,1,5,6,2,3,27
106667,1,2,3,46,8,91
106668,1,5,2,84,1,46
102753,126,2264,3,39,8,53
102752,2,2,2,84,1,46
102751,0,21,6,29,3,27
102750,3,174,2,49,1,44
102757,1,2,2,46,1,91
102756,2,2,2,49,1,44
102755,0,1,2,36,1,2
102754,0,3,2,84,1,46
102759,0,1,4,98,7,37
102758,0,3,2,49,1,44
112009,1,3,3,23,3,18
107130,2,176,3,84,1,46
107131,2,68,2,49,1,44
107132,2,0,2,17,1,2
107133,20,177,0,3,3,19
107134,2,8,2,84,1,46
107136,0,178,2,75,1,26
107137,1,5,2,75,1,26
107138,1,1,3,19,8,66
107139,0,1,2,84,1,46
88522,126,2264,3,81,1,73
88523,2,9,2,40,1,38
88520,2,180,4,44,1,54
88521,2,181,2,36,1,2
88526,2,40,2,84,1,46
88527,2,8,3,65,8,49
88524,126,2264,2,36,1,2
88525,15,182,3,84,5,46
88528,126,2264,2,84,1,46
88529,2,65,2,84,1,46
91361,0,22,2,76,1,97
112529,2,1,2,36,1,2
88298,2,1,2,46,3,91
88299,2,151,3,61,8,86
88290,126,2264,2,89,0,79
88291,0,52,3,55,8,21
88292,0,3,2,36,1,2
88293,126,2264,3,61,1,86
88294,3,464,2,40,1,38
88295,3,1411,3,61,1,86
88296,126,2264,2,36,1,2
88297,126,2264,4,1,7,67
108317,1,5,2,36,1,2
108316,1,5,2,84,1,86
108319,1,5,1,84,0,46
108318,1,5,6,16,8,65
1332352,0,3,3,67,8,30
86269,2,187,2,49,1,44
86268,126,2264,3,23,3,18
86267,3,2,2,84,1,46
86266,126,2264,2,73,1,40
86265,126,2264,3,79,8,70
86264,2,188,3,45,8,45
86263,2,189,3,30,8,20
86262,0,3,3,93,8,72
86261,2,189,2,84,1,46
86260,3,1311,3,17,3,66
103934,2,13,2,76,1,97
103935,0,10,0,40,1,38
103936,0,11,9,75,9,93
103937,2,2,1,89,0,56
103930,2,11,2,49,1,44
103931,0,12,2,76,1,32
103932,0,1,2,36,1,2
103933,1,5,2,84,1,46
103938,0,190,2,84,1,46
103939,0,5,2,36,1,2
86843,0,52,0,3,3,19
86842,3,1,1,67,0,51
86841,2,13,9,11,9,93
86840,3,165,2,40,1,38
86847,22,191,2,17,1,46
86846,3,2,2,75,1,26
86845,2,128,3,98,8,37
86844,0,192,3,61,8,86
86849,1,5,3,84,1,46
86848,126,2264,3,23,1,18
821432,2,1,2,84,1,46
821431,2,1,0,16,3,38
109662,0,1,1,84,0,46
109663,1,5,2,84,1,65
109660,102,1,9,41,9,93
109661,1,5,2,36,1,2
87574,126,2264,2,89,1,56
109667,1,59,3,39,8,53
109664,0,1,3,92,8,11
109665,1,1,6,9,0,77
1728,1,1,2,36,1,2
1729,2,2,1,81,0,73
1726,2,1,3,0,8,83
1727,2,1,0,63,0,64
1724,2,1,2,89,1,87
1725,1,2,0,18,3,69
1722,2,1,3,23,3,18
