,mod,wt,km_10,km_100,gmm_10,gmm_100
85347,126,2264,3,30,8,20
85346,126,2264,3,27,3,28
85341,126,2264,9,24,9,39
106847,1,2,3,53,8,86
85343,2,859,4,26,7,54
85342,126,2264,4,44,7,8
87279,126,2264,3,85,0,78
87278,0,22,3,72,8,89
87273,42,144,4,44,7,8
87272,126,2264,3,55,8,84
87271,126,2264,3,46,8,91
87270,2,44,4,0,8,83
87277,0,3,9,10,9,76
87276,0,1960,4,44,7,8
87275,2,50,3,78,8,30
87274,126,2264,4,30,8,95
1087609,1,1,4,13,7,54
1087605,1,1,4,66,7,6
1087604,0,10,3,32,8,42
1087607,0,12,3,45,7,37
1087606,0,12,4,38,7,67
85699,126,2264,4,35,7,42
85698,3,139,0,86,3,7
85693,0,1961,9,41,9,93
85692,2,806,9,41,9,93
85691,17,163,3,65,3,49
85690,126,2264,3,13,8,29
85697,2,9,3,19,3,66
85696,2,19,3,82,8,35
85695,126,2264,2,49,1,44
85694,126,2264,1,6,0,51
87181,2,242,9,11,9,76
87180,3,1912,4,50,3,31
87183,2,240,3,65,3,49
87182,126,2264,3,96,3,28
87185,0,1,0,23,3,18
87184,2,40,0,3,3,69
87187,126,2264,4,19,7,66
87186,3,62,6,38,7,67
87189,2,1962,0,12,3,69
87188,2,13,6,86,3,27
1694995,0,36,4,99,7,34
1977513,2,14,3,78,1,30
86588,3,293,1,62,0,16
86589,126,2264,4,98,7,37
86582,1,7,6,16,3,27
86583,126,2264,9,10,9,3
86580,126,2264,4,13,7,67
86581,1,2,3,30,8,20
86586,0,1963,4,13,4,54
86587,0,1,0,3,3,69
86584,126,2264,3,81,8,73
86585,2,1716,3,68,7,13
86630,0,409,1,63,0,64
86631,0,22,2,76,0,97
86632,126,2264,0,22,3,49
86633,126,2264,0,12,3,19
86634,126,2264,6,88,7,57
86635,3,1964,3,77,8,63
86636,126,2264,3,82,8,35
86637,2,9,4,99,7,34
86638,2,13,9,41,9,62
86639,126,2264,4,13,4,29
2621080,126,2264,4,14,7,11
89789,0,3,9,41,9,93
89788,2,13,9,10,7,3
89781,0,105,4,13,7,54
89780,2,1966,3,78,3,30
89783,126,2264,3,89,8,56
89782,3,1096,9,11,9,76
89785,2,2,6,2,9,3
89784,126,2264,6,1,7,78
89787,0,1967,9,41,9,93
89786,2,51,4,47,3,25
89257,2,9,0,56,3,69
89256,2,1304,0,56,3,69
89255,2,1968,3,46,3,91
89254,4,1,3,46,3,91
89253,0,1163,0,78,1,30
89252,2,19,9,10,9,62
89251,2,215,1,87,0,79
89250,2,13,0,46,0,91
89259,78,1969,6,63,8,64
89258,3,1970,9,24,9,39
88782,126,2264,1,97,0,22
88783,126,2264,9,24,9,39
88780,2,235,3,42,8,52
88781,2,818,4,51,7,56
88786,2,44,9,10,9,3
88787,2,205,4,35,7,8
88784,126,2264,0,12,7,19
88785,2,90,4,38,7,67
103202,7,1,1,87,0,79
103203,1,5,3,45,8,45
88788,126,2264,3,45,8,45
88789,0,12,4,44,7,8
103206,1,1,1,51,0,56
103207,2,2,1,51,0,56
103204,0,1,9,99,9,34
103205,2,67,1,51,7,56
872995,1,2,3,72,8,89
872994,1,2,3,32,8,42
1695106,0,10,1,51,0,56
97724,2,9,1,62,0,16
97725,0,12,3,72,8,89
97726,2,1,6,32,7,42
97727,0,10,4,51,7,56
97720,0,30,1,51,0,56
97721,0,1,6,45,8,37
97722,2,25,5,20,0,15
97723,0,12,3,72,8,89
97728,126,2264,6,6,0,47
97729,2,90,3,48,8,71
88128,2,23,1,51,0,56
88129,2,9,3,48,8,71
101279,0,12,3,45,8,45
93549,0,35,3,39,8,72
95472,0,3,4,26,7,54
95473,0,3,4,26,7,54
95470,2,50,6,81,0,73
95471,0,1,6,2,0,27
95476,0,33,3,77,8,63
95477,0,33,1,52,0,33
95474,0,33,6,6,0,42
95475,0,33,4,51,7,56
95478,0,33,1,62,0,16
95479,0,1971,6,34,0,11
110601,2,1,1,87,0,79
101277,0,12,6,2,7,27
93540,2,40,3,48,8,71
101270,0,47,3,82,8,35
93542,126,2264,0,81,3,52
101272,0,12,4,1,7,48
98579,1,1,9,11,9,76
103448,0,10,1,87,0,79
91338,2,53,1,85,0,78
98577,2,382,2,89,1,46
103440,2,2,9,99,9,34
96929,3,316,1,85,0,51
96928,0,22,4,13,4,29
96925,1,3,3,30,8,20
96924,0,35,1,62,0,16
96927,2,25,3,82,8,35
96926,2,146,0,3,3,19
96921,126,2264,3,48,3,71
96920,3,36,9,11,9,93
96923,126,2264,9,69,9,10
96922,126,2264,1,62,0,16
103443,1,1,4,43,7,5
103444,2,2,3,30,8,20
103445,2,0,3,46,8,91
90189,2,639,3,72,8,64
111878,1,2,4,13,7,8
90185,2,40,4,13,4,54
90184,126,2264,0,29,7,48
90187,0,1975,3,82,8,35
111879,1,5,3,74,8,45
90181,2,9,3,68,8,42
90180,0,3,9,99,9,34
90183,0,409,0,3,3,19
90182,2,151,9,41,9,7
94404,2,30,0,29,0,7
94405,0,12,9,41,9,7
94406,2,13,3,83,8,0
94407,2,382,4,51,0,56
94400,1,5,4,35,0,8
94401,93,1093,9,10,9,3
94402,93,1093,1,67,0,16
94403,2,29,6,50,8,31
94408,3,2,4,19,7,66
94409,2,50,3,13,8,42
2217721,126,2264,6,86,3,27
106964,1,83,3,95,3,23
108588,1,5,0,66,3,38
108589,1,2,1,51,0,56
92121,3,1,3,48,1,48
92120,3,1,9,27,9,14
92123,3,1611,3,45,3,37
92122,3,112,0,1,0,48
92125,2,129,2,89,0,87
92124,2,1932,0,86,3,19
92127,126,2264,1,35,0,29
92126,3,157,3,13,8,86
92129,126,2264,9,10,7,3
92128,2,1156,4,69,8,10
108580,2,30,4,26,7,54
108581,1,83,0,29,3,11
89602,0,158,3,55,8,72
87844,0,2006,3,82,8,35
108583,1,5,4,68,7,13
87845,1,1,4,82,8,35
108584,1,2,6,38,7,67
103990,0,12,0,65,3,49
108585,1,2,9,10,9,76
1434357,3,2,3,55,8,65
87847,2,44,1,85,0,16
108586,1,1,0,56,3,69
111409,7,1884,0,78,3,30
111408,126,2264,4,51,0,56
111407,1,1935,1,1,0,78
87840,126,2264,8,91,4,55
111405,1,83,1,62,0,16
111404,1,2,4,13,8,20
111403,1,1,2,89,0,56
111402,1,5,9,41,9,93
111401,0,12,1,87,0,79
87841,0,1,4,51,0,56
104172,2,30,1,85,0,87
107978,1,2,6,2,7,3
107979,1,83,8,5,4,29
107974,1,5,3,82,8,35
107975,1,5,1,85,5,82
107976,126,2264,1,85,0,16
87843,0,156,3,95,8,23
107970,2,68,1,1,0,78
107971,1,5,3,33,7,66
107972,2,30,6,34,0,77
107973,2,30,6,66,7,6
93290,1,1,3,82,8,35
93291,1,2,3,56,8,91
93292,2,53,3,27,8,14
93293,1,83,4,26,7,54
93294,3,1403,6,27,0,11
93295,3,523,1,62,0,16
93296,3,1467,9,41,9,93
93297,2,13,4,44,8,8
93298,2,1,0,86,3,19
93299,2,1,4,38,7,67
99939,1,1,4,13,4,54
99938,126,2264,4,13,7,29
99937,126,2264,6,95,7,23
99936,0,3,0,16,3,19
99935,1,1,4,35,7,48
99934,0,131,9,10,9,76
99933,0,3,3,82,8,35
99932,1,1,2,66,0,6
99931,1,5,9,10,9,3
99930,1,1,9,41,9,93
96118,3,3,9,41,9,93
96119,1,2,9,41,9,93
96114,1,1,3,0,8,83
96115,0,3,9,41,9,62
96116,126,2264,3,50,8,31
96117,3,2,3,78,8,30
87575,3,195,3,53,8,95
96111,0,105,4,79,7,70
96112,0,1,4,82,8,35
96113,0,35,0,86,3,19
106317,0,1977,0,3,3,69
106316,0,1,0,3,3,19
106315,2,68,4,44,7,8
106314,0,12,4,1,7,48
106313,0,1,0,81,3,52
106311,1,5,3,61,8,86
106310,1,2,9,41,9,93
106318,1,1,3,72,8,89
102807,1,1,4,26,7,54
102806,1,1,4,44,3,8
102805,2,1,3,83,8,0
102804,1,1,3,83,8,0
102801,1,2,3,77,7,63
102800,1,3,3,30,8,95
87576,0,15,2,89,0,6
102809,0,12,4,13,7,29
102808,2,1,6,16,3,27
87577,2,196,3,30,8,20
145777,1,5,4,13,7,54
99069,0,3,6,34,7,73
99068,1,2,3,45,8,45
99061,2,7,0,1,7,48
99060,0,1978,0,40,3,69
99063,0,3,6,43,7,5
99062,2,76,3,45,3,45
99065,1,2,0,3,3,19
99064,0,10,0,22,9,14
99067,126,2264,3,19,8,66
99066,3,2,4,13,4,54
105464,1,2,3,93,8,72
105465,1,5,3,13,7,29
105466,1,1,4,13,4,55
105460,2,664,0,23,3,18
105461,2,664,4,13,4,54
105462,2,664,9,99,9,62
105463,2,7,1,62,0,16
112356,1,30,4,13,7,29
112357,2,1,3,30,8,20
112354,1,5,6,34,0,11
112355,2,1,1,89,0,56
112352,1,2,9,41,9,93
105469,27,1979,3,77,8,63
112350,1,2,1,62,0,16
112351,1,1,3,78,3,30
102115,0,1,2,47,0,32
102114,0,131,1,85,0,29
102117,0,21,3,0,3,83
102116,0,10,1,62,0,16
102111,1,1,4,26,0,29
102110,88,1980,4,13,7,54
102113,2,1,4,26,7,29
102112,1,1,4,35,7,63
102119,2,1,1,85,0,82
102118,0,3,0,3,3,7
2010319,126,2264,8,91,4,55
107198,0,346,4,26,7,54
107199,2,1,4,35,0,51
107196,2,30,0,29,0,38
107197,1,5,3,82,8,35
107194,2,1,3,53,8,35
107195,0,287,9,41,9,93
107192,0,21,0,40,3,38
107193,0,1,9,11,9,76
107190,54,309,3,55,8,72
107191,1,5,4,19,7,66
137739,1,2,0,29,0,19
137731,2,30,6,34,7,77
137730,0,52,6,0,7,83
137733,1,83,9,41,9,7
137732,1,5,4,89,7,56
137735,1,2,3,72,8,89
137734,2,1,3,30,8,20
137737,2,2,4,44,7,8
137736,1,5,6,2,8,27
109972,0,36,4,13,4,29
109973,0,10,9,24,9,39
109970,1,2,9,41,9,93
109971,1,2,3,82,8,35
109976,0,1,1,39,0,53
109974,0,82,4,26,7,54
109975,2,1,3,67,8,21
108373,1,5,4,68,7,13
108372,0,346,3,82,8,35
108371,28,250,6,9,7,47
108370,2,68,3,81,3,52
108377,1,83,4,44,7,8
108376,1,5,4,26,7,54
108375,1,5,0,23,3,18
108374,1,2,3,57,8,72
108379,1,83,4,98,7,37
108378,1,2,3,82,8,35
111876,1,5,9,10,9,93
111877,1,5,4,13,8,29
111874,2,68,6,2,7,27
111875,2,1,4,38,7,67
111872,1,2,0,3,3,69
111873,1,1,2,63,0,64
111870,2,1,4,99,7,34
111871,1,2,9,10,9,3
91331,0,1974,6,34,0,11
103441,2,1,3,82,8,35
103442,1,1,6,95,7,23
91332,2,7,9,10,9,62
91335,2,289,5,55,8,30
91334,126,2264,3,55,8,30
91337,2,13,4,13,4,54
91336,4,535,3,78,3,30
145895,1,2,3,78,3,30
145894,1,1,9,10,7,76
145897,1,2,0,29,3,19
145896,1,2,6,16,3,48
145891,2,1,9,39,9,53
145890,2,68,9,41,9,7
145893,126,2264,9,41,9,93
145892,1,2,9,99,9,62
145899,1,2,4,81,7,73
145898,0,52,3,30,8,20
2351149,2,1,9,24,9,39
109396,1,1,8,91,4,55
109397,1,59,9,10,9,76
109394,1,2,4,35,7,48
109395,1,2,4,98,7,37
109392,2,68,6,9,0,47
109393,1,2,0,3,3,19
109390,1,68,6,19,8,66
109391,1,2,3,45,8,45
103999,3,2,3,83,8,0
87848,126,2264,9,41,9,93
87849,2,1015,9,41,9,7
109398,1,422,9,22,9,7
109399,1,5,9,41,9,7
101598,2,44,9,11,9,76
101599,2,44,1,35,0,51
101594,3,2,2,89,0,2
101595,126,2264,3,30,8,95
101596,1,2,0,3,3,19
101597,0,1,9,24,9,39
101590,1,1,3,82,8,35
101591,0,130,4,13,7,29
101593,0,12,9,41,9,93
109020,1,2,3,30,8,20
109021,1,2,4,13,4,29
109023,1,5,5,89,1,29
109024,1,2,9,11,9,76
109025,2,68,2,36,1,2
109026,1,2,9,41,9,93
109027,2,1,1,1,0,78
109028,0,1,3,0,8,83
109029,0,1,4,30,8,95
2681535,126,2264,6,66,7,48
85558,2,1986,9,10,9,3
85559,3,387,2,89,1,29
85554,2,189,3,67,0,51
85555,0,156,4,26,7,54
85556,2,1,3,42,3,52
85557,126,2264,9,41,9,93
85550,126,2264,2,89,1,87
85551,89,1068,1,51,1,56
85552,0,22,1,85,0,51
85553,126,2264,3,55,8,21
109671,1,1,4,89,8,56
109670,1,5,1,62,0,16
109673,2,631,4,13,4,29
88550,2,22,1,1,0,78
109675,1,83,1,6,0,38
109674,1,5,0,3,3,19
109677,1,1,0,3,3,19
109676,1,2,4,13,4,29
95205,2,19,0,39,9,53
95204,1,5,9,41,9,7
95207,0,52,3,82,8,35
95206,2,9,1,85,0,51
95201,0,3,4,13,4,29
95200,4,507,9,41,9,93
95203,4,1151,6,95,7,23
95202,2,9,1,87,0,79
87028,126,2264,6,2,7,3
87029,2,13,1,19,7,94
87022,0,13,4,13,4,54
87023,0,1686,4,1,7,48
87020,2,1983,2,1,1,48
87021,2,1519,8,85,1,82
87026,0,1,6,34,0,77
87027,0,131,3,21,8,25
87024,3,523,3,50,8,94
87025,2,9,9,41,9,93
86775,1,2,4,44,7,8
86774,0,9,1,85,0,16
86777,2,80,4,44,7,34
86776,0,50,3,5,8,42
86771,2,1984,0,23,3,18
86770,2,13,4,13,7,29
86773,126,2264,4,55,8,21
86772,126,2264,1,6,0,78
86779,2,1409,6,99,9,34
86778,0,978,0,29,3,19
111550,2,1587,9,41,9,93
94562,2,1203,4,13,4,54
96358,0,3,3,0,3,83
96359,2,1,4,74,7,54
96356,1,2,9,11,9,76
96357,0,12,8,13,4,54
96354,1,3,3,1,0,48
150541,1,5,1,85,1,87
96352,0,22,0,12,3,69
96353,3,647,6,34,7,77
96350,1,2,3,32,8,42
96351,0,22,4,26,7,54
94264,0,3,0,3,3,19
94265,2,50,4,44,7,3
94266,0,815,3,93,8,72
94267,3,753,6,2,7,27
94260,0,22,6,1,0,51
94261,0,105,1,31,7,29
94262,0,2021,3,93,8,72
94263,126,2264,0,56,3,94
97083,126,2264,9,11,9,76
94268,2,61,9,41,9,7
94269,0,655,6,39,0,53
97087,2,13,3,16,7,10
97086,3,2,2,1,3,87
150540,1,5,4,13,4,29
96684,0,50,9,41,9,93
96685,0,1985,4,98,7,37
96686,2,13,3,61,9,86
96687,0,52,3,19,8,66
96680,0,52,4,13,4,29
96681,3,28,4,26,7,54
96682,2,1,0,81,3,52
96683,126,2264,6,34,0,77
96688,2,40,6,2,7,27
96689,1,2,0,29,3,77
94192,0,12,3,23,8,18
94193,2,1,3,23,8,18
94190,2,80,6,23,3,18
94191,0,105,0,40,3,69
94196,2,1030,0,23,3,18
94197,2,204,0,23,3,18
94194,3,28,3,95,8,66
94195,2,112,9,24,9,39
94198,2,61,6,46,0,91
94199,0,22,3,45,8,45
90682,1,2,6,2,7,27
90683,0,13,9,10,9,62
90680,0,13,3,69,8,10
90681,0,105,3,32,8,86
90686,126,2264,3,32,8,42
90687,2,7,3,19,8,94
90684,2,290,0,3,3,19
90685,2,42,6,95,7,23
90688,126,2264,4,83,7,0
90689,2,129,6,95,9,23
118048,1,2,1,1,0,78
118049,2,1,0,81,3,52
118040,1,59,6,19,7,65
118042,1,2,4,98,7,37
118043,1,2,0,3,3,69
118044,1,2,0,22,3,14
118045,1,2,4,13,4,54
118046,1,1,4,26,7,54
118047,1,5,3,77,8,63
93359,0,12,4,13,7,29
99269,2,1252,4,55,8,8
99268,2,1252,4,51,0,56
99263,0,12,4,51,7,56
99262,0,36,8,85,5,42
99261,3,2,4,40,7,38
93358,3,2,3,50,8,31
99267,0,3,0,23,3,18
99266,0,50,0,29,3,19
99265,0,12,1,13,4,29
99264,0,12,1,16,0,51
104602,2,1,5,50,2,31
97557,0,3,3,78,2,30
97556,2,1363,3,32,8,42
97555,2,44,1,35,0,16
97554,0,3,0,56,3,69
97553,0,12,0,40,3,69
97552,1,2,3,39,9,53
97551,0,12,0,56,3,52
97550,1,3,0,3,3,69
97559,0,475,9,10,9,93
97558,3,397,0,3,3,69
90026,3,464,9,99,9,34
90027,2,228,9,99,9,34
90024,3,715,4,98,7,56
90025,0,49,3,19,3,94
90022,0,105,4,26,4,54
90023,3,492,2,84,8,46
90020,2,215,6,9,0,77
90021,2,7,0,29,3,19
90028,126,2264,1,89,0,56
90029,16,1987,4,74,8,25
1156859,2,14,4,26,7,54
94059,2,151,9,99,9,34
112888,1,5,3,32,7,42
112889,1,1,9,11,9,76
112882,2,68,4,98,7,37
112883,1,3,4,13,7,29
112880,0,30,6,88,7,57
112881,1,5,6,2,7,27
112887,1,5,1,87,0,79
112884,1,5,4,13,7,29
112885,0,36,3,82,8,35
93350,2,104,6,6,0,77
91641,2,6,4,13,4,54
108535,1,2,3,32,7,42
91643,3,1530,0,66,3,18
91642,126,2264,4,13,7,10
91645,124,2059,9,41,9,93
91644,126,2264,3,74,3,45
91647,2,0,3,14,8,73
89696,2,13,8,13,4,29
91649,124,1798,1,97,4,22
91648,2,7,9,41,9,93
106909,1,5,4,5,4,54
108537,1,5,4,13,4,29
108536,2,8,0,78,3,30
108531,1,2,4,13,7,54
108530,1,5,4,13,4,54
108533,1,83,0,46,3,91
93352,0,1420,0,3,3,19
108532,2,68,3,45,8,45
93649,126,2264,9,11,9,76
93648,3,161,9,99,9,34
93647,3,161,6,34,0,77
93646,3,161,4,31,4,29
93645,2,1989,4,44,7,8
93644,2,983,3,45,8,37
93643,2,13,8,91,4,55
93642,0,12,4,9,8,47
93641,2,13,6,45,3,23
93640,2,290,1,67,0,51
93355,0,116,4,26,7,29
104265,1,5,0,22,3,69
93127,0,12,6,6,0,47
104267,3,2,4,99,7,34
93357,126,2264,0,0,3,83
104266,2,30,0,3,3,19
93123,2,44,9,10,9,76
2219105,2,1990,3,78,8,30
93120,7,1991,0,56,3,69
93356,126,2264,3,83,8,0
98499,0,724,4,35,7,66
98498,0,3,6,10,9,3
98497,2,1,4,44,7,8
98496,3,94,3,61,8,66
98495,2,13,3,78,3,30
98494,1,2,1,6,0,51
98493,2,1689,9,41,9,93
98492,1,2,4,98,3,37
98491,0,3,9,41,9,93
98490,0,12,3,57,8,72
100999,0,1809,1,85,0,51
100998,0,36,4,26,7,54
100993,2,1,4,26,7,54
100992,0,50,3,69,9,10
100991,1,1,6,95,7,23
100990,0,21,3,42,8,43
100997,40,1,3,19,8,66
100996,1,5,9,10,9,76
100995,126,2264,4,13,7,54
100994,2,1,4,26,7,54
104678,2,414,4,26,7,54
104679,2,68,4,26,7,54
104672,126,2264,9,41,9,7
104673,2,1,3,30,8,95
104670,2,1,9,11,9,76
104671,2,1,3,39,0,53
104676,0,12,3,78,8,30
104677,2,76,0,12,3,69
104674,0,1,3,69,8,10
104675,1,2,6,34,0,77
106852,1,922,3,50,1,31
91710,2,3,1,63,0,64
106854,1,59,4,13,4,54
91716,0,12,4,13,4,29
91715,2,7,0,12,8,19
106298,1,3,3,82,8,35
106299,2,1482,3,19,8,66
106290,1,5,1,85,0,51
106297,2,44,3,13,8,29
118152,1,5,4,13,4,29
106124,0,1,3,61,8,84
106125,2,13,9,41,9,93
106126,2,664,0,3,3,69
106127,1,59,4,13,4,54
106122,0,1992,4,44,1,8
106128,1,1,9,11,9,76
106129,0,21,6,42,8,28
102634,0,3,9,41,9,7
102635,2,130,3,48,8,66
102636,0,12,4,13,4,29
102637,0,5,3,45,8,45
102630,2,9,9,11,9,93
102631,2,13,4,44,7,8
102632,0,3,1,51,0,56
102633,0,12,6,19,8,94
118153,1,5,4,44,7,8
102638,3,469,1,66,0,6
102639,2,271,1,51,0,56
112374,2,2,9,55,9,21
112146,1,2,9,11,9,76
112145,1,1,3,77,8,63
112144,1,2,4,98,7,37
112143,1,1,6,16,7,66
112142,1,2,6,34,7,77
112141,1,5,4,44,7,8
112140,1,1,0,56,3,69
112375,2,1,9,41,9,93
85958,126,2264,3,69,8,10
85959,0,1993,4,13,4,54
118156,1,5,0,23,3,69
103315,0,1,9,95,9,23
85950,2,2,5,84,1,46
85951,1,5,9,41,9,93
85952,3,1994,4,13,7,54
85953,0,36,4,44,7,8
85954,113,1458,0,3,3,69
85955,126,2264,3,45,8,37
85956,126,2264,1,85,0,16
107655,2,68,9,11,9,76
107654,1,5,3,77,8,63
107657,1,2,6,27,3,14
107656,1,5,4,43,7,5
107651,1,2,4,13,4,29
107650,1,2,6,34,7,66
107653,2,7,9,41,9,7
107652,2,1995,4,13,4,54
107658,1,2,9,41,9,93
108492,1,5,0,56,3,69
108493,1,1,6,50,3,31
108490,1,2,1,85,0,51
108491,1,5,1,13,7,29
108496,1,2,5,20,2,68
108497,1,5,0,16,3,19
108494,2,30,4,13,4,54
108495,2,30,0,65,3,49
108498,1,1,3,69,8,10
108499,1,5,0,56,3,7
118154,1,2,4,26,7,54
109723,1,5,4,13,7,29
109722,1,5,3,23,3,18
109721,2,13,4,13,7,29
109720,0,36,3,56,3,18
109727,1,5,9,41,9,93
109725,1,1,4,13,4,54
109724,1,1,3,81,3,73
109729,1,5,4,34,7,11
109728,1,5,3,39,8,53
127909,2,68,9,10,9,62
127908,1,5,3,23,3,18
88379,126,2264,1,62,0,16
88378,3,1492,3,93,3,72
127903,1,2,2,89,1,44
127902,1,5,4,13,4,29
127901,2,76,3,89,1,29
107802,2,1,0,56,3,91
127907,0,1,1,51,0,56
127906,2,0,3,33,1,78
127905,1,59,0,77,3,63
127904,1,35,2,89,1,56
100562,3,567,3,78,8,30
100563,0,22,0,3,3,69
100560,40,1,4,13,8,29
100561,0,217,3,50,8,31
100566,0,3,4,44,7,65
100567,1,83,3,74,8,45
100564,1,2,3,74,8,45
100565,2,44,1,87,0,79
100568,0,22,9,10,9,76
100569,88,1980,1,1,0,51
108236,1,2,2,89,1,29
108237,1,1,3,78,8,30
108234,2,44,9,0,9,83
108235,1,2,4,13,7,29
108232,1,2,9,41,9,93
108233,1,2,9,41,9,93
108230,1,5,6,19,7,65
108231,1,2,9,41,9,7
108238,1,2,1,16,0,48
88877,0,12,9,41,9,7
86362,2,7,1,87,0,79
86363,0,1737,9,41,9,7
86360,90,1996,4,13,4,54
86361,126,2264,3,55,8,86
86366,15,1000,1,6,0,51
86367,2,7,3,61,8,86
86364,0,1997,3,65,3,49
86365,2,7,3,55,8,21
86368,126,2264,3,32,8,42
86369,3,1810,0,12,3,36
2496261,1,1,4,26,4,54
100386,0,3,0,77,3,63
100387,3,567,4,98,7,37
100384,0,3,3,63,1,64
100385,2,44,3,43,8,5
100382,1,1998,3,47,7,32
100383,2,475,9,24,9,39
100380,0,10,3,61,8,86
100381,2,7,3,32,8,42
110413,1,2,3,30,8,20
100388,0,10,1,85,0,16
100389,2,25,1,62,0,16
86986,0,22,6,50,8,31
86987,2,18,0,56,3,18
86984,77,1646,0,56,3,69
86985,4,1151,0,50,3,31
86982,0,36,0,56,3,69
86983,126,2264,6,6,0,47
86980,126,2264,9,11,9,76
86981,3,1311,4,38,7,67
86988,83,1016,1,6,0,51
86989,2,57,3,45,3,45
101389,1,2,4,13,7,29
101384,0,3,1,85,0,16
84848,126,2264,4,1,7,48
101381,0,12,4,44,7,8
101380,2,90,3,72,8,89
101383,2,30,1,85,0,16
101382,0,12,3,81,3,73
85189,0,22,3,61,0,86
85188,126,2264,3,69,3,94
85183,3,678,8,91,4,55
85182,126,2264,0,86,3,19
85181,3,2206,8,85,4,29
85180,2,2207,4,89,1,56
85187,126,2264,4,51,7,56
85185,126,2264,9,99,9,34
85184,4,418,4,44,7,8
2516349,0,12,1,27,1,14
106573,1,2,4,26,7,54
106572,2,664,6,2,7,27
106571,2,7,0,29,3,38
106570,2,68,0,22,3,14
109561,1,5,3,55,8,65
109560,1,2,3,61,8,86
109563,1,2,4,44,7,8
106426,1,5,4,44,7,8
94831,0,12,9,41,9,93
94830,2,260,4,44,7,8
94832,2,13,6,35,0,48
94835,0,3,3,78,5,30
94834,2,588,0,22,3,69
94836,0,3,0,12,3,45
94839,0,22,3,87,0,46
94838,0,215,0,86,3,69
2758568,1,2,6,9,9,47
2758569,2,1,1,97,0,22
87615,126,2264,3,27,1,14
87614,126,2264,4,26,7,54
87617,126,2264,4,66,0,6
87616,126,2264,0,3,3,19
87611,0,2003,9,41,9,7
87610,126,2264,0,86,3,19
87613,126,2264,6,9,7,47
87612,126,2264,0,22,3,14
87619,0,156,3,73,8,65
87618,0,15,3,77,8,63
89547,126,2264,3,39,3,53
89546,126,2264,1,33,0,78
89545,2,80,3,45,3,45
89544,2,632,3,54,8,36
89543,2,2004,1,85,0,56
89542,0,116,9,41,9,76
89541,2,9,3,14,8,11
89540,2,2005,4,51,0,56
89549,8,326,4,99,9,34
89548,2,336,5,48,1,71
97016,3,2,3,39,8,53
97017,2,14,4,13,4,29
110127,1,83,9,24,9,39
110126,1,5,9,24,9,93
110120,2,68,6,66,7,6
92860,1,3,3,55,2,21
92862,2,13,3,19,8,66
92863,2,35,2,15,1,10
92864,0,315,6,32,8,42
92865,2,439,6,34,7,77
110129,1,5,4,44,8,8
92867,1,5,3,69,8,10
96529,0,3,0,27,3,14
96528,0,3,0,3,3,69
97019,126,2264,0,3,3,69
102374,1,2,9,11,9,93
96521,40,3,9,24,9,39
96520,0,36,9,11,9,76
96523,0,3,3,77,8,63
96522,0,3,3,33,8,78
96525,3,12,4,99,7,34
96524,0,12,0,3,3,69
96527,0,3,3,23,3,18
96526,3,339,0,81,3,52
88636,2,213,3,55,8,72
88637,2,1363,9,41,9,93
88634,126,2264,6,34,0,77
88635,0,1,6,2,7,27
88632,0,3,9,41,9,93
88633,2,2092,9,41,9,62
88630,2,338,9,41,9,7
88631,0,3,9,24,9,39
88638,1,1,4,44,7,8
88639,3,1601,9,10,9,76
102372,1,2,3,30,8,20
107811,1,1,3,77,8,63
1451107,126,2264,8,8,5,85
107810,1,2,4,89,1,56
107817,1,2,4,26,3,54
107816,0,21,3,32,8,98
107815,2,2,9,24,9,39
107814,1,5,9,24,9,39
94017,1,2,9,24,9,39
94016,2,95,3,69,9,10
94015,3,2,6,27,9,14
94014,2,13,3,55,8,72
94013,0,215,4,48,8,71
94012,2,79,4,44,7,8
94011,3,35,3,79,8,70
94010,2,13,3,19,8,94
94019,2,13,4,99,7,34
94018,1,2,3,77,8,63
102432,0,3,6,34,7,57
102433,0,3,4,44,7,8
102430,0,52,0,40,8,38
102431,1,5,3,57,2,72
102436,1,2,4,13,7,94
102437,1,1,8,91,4,55
102434,0,473,3,72,8,89
102435,1,3,9,99,9,62
102438,1,1,6,33,1,78
102439,0,36,3,16,8,42
1528394,1,1,4,68,7,13
102388,0,35,6,9,7,77
102389,0,35,0,22,3,37
102384,2,139,3,45,3,45
102385,2,636,0,86,3,7
102386,2,25,9,10,3,76
102387,0,35,3,5,4,29
102380,2,13,9,41,9,93
102381,0,12,9,41,9,93
102382,17,1190,9,41,9,7
102383,2,1,3,50,1,31
95766,0,12,4,35,7,48
95767,0,3,6,16,3,27
95764,0,12,3,55,8,42
95765,0,12,1,85,4,29
95762,1,3,4,43,7,5
95763,0,3,0,56,3,7
95760,2,50,6,95,8,23
95761,2,113,0,22,3,14
99432,0,3,6,65,8,49
99433,7,5,3,46,8,20
99430,0,3,4,44,7,8
99431,2,14,1,85,0,82
99436,0,12,6,19,7,66
99437,2,129,9,57,7,3
95768,2,9,4,98,3,37
95769,2,37,1,66,0,6
109521,0,921,6,9,9,77
109520,1,1,9,10,9,76
109523,1,5,4,24,9,39
109522,1,2,2,17,3,37
109525,1,5,3,54,7,36
109524,1,1,6,1,0,51
109527,2,1,9,24,9,39
109526,1,2,6,95,8,23
109529,1,5,3,30,8,95
109528,1,3,1,85,0,51
112437,2,1,6,95,9,23
