,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000
108872,0,0,0,0,0,4
108873,0,0,0,0,0,4
86124,0,0,0,0,0,4
96251,0,0,0,0,0,4
88162,0,0,0,0,0,4
97762,0,0,0,0,0,4
90965,0,0,0,0,0,4
99342,0,0,0,0,0,4
98750,0,0,0,0,0,4
98757,0,0,0,0,0,4
104533,0,0,0,0,0,4
99804,0,0,0,0,0,4
107754,0,0,0,0,0,4
98428,0,0,0,0,0,4
86007,0,0,0,0,0,4
91245,0,0,0,0,0,4
108813,0,0,0,0,0,4
1997012,0,0,0,0,0,4
88778,0,0,0,0,0,4
97795,0,0,0,0,0,4
90286,0,0,0,0,0,4
99554,0,0,0,0,0,4
102268,2,79,79,4,67,67
102266,0,0,0,0,0,4
99688,0,0,0,0,0,4
99682,0,0,0,0,0,4
100315,0,0,0,0,0,4
93992,0,0,0,0,0,4
86215,0,0,0,0,0,4
1754,0,0,0,0,0,4
110017,0,0,0,0,0,4
96153,0,0,0,0,0,4
112520,0,0,0,0,0,4
112523,0,0,0,0,0,4
105838,0,0,0,0,0,4
107069,0,0,0,0,0,4
101039,0,0,0,0,0,4
88058,0,0,0,0,0,4
112924,0,0,0,0,0,4
97909,0,0,0,0,0,4
102359,0,0,0,0,0,4
101237,0,0,0,0,0,4
105979,0,0,0,0,0,4
106435,0,0,0,0,0,4
3187211,0,0,0,0,0,4
1087659,0,0,0,0,0,4
96446,0,0,0,0,0,4
99574,0,0,0,0,0,4
99573,0,0,0,0,0,4
94435,0,0,0,0,0,4
111295,0,0,0,0,0,4
111299,0,0,0,0,0,4
2392165,0,0,0,0,0,4
106326,0,0,0,0,0,4
102834,0,0,0,0,0,4
102785,0,0,0,0,0,4
112035,2,64,64,4,67,67
137740,0,0,0,0,0,4
108349,0,0,0,0,0,4
109691,0,0,0,0,0,4
87877,0,0,0,0,0,4
85561,0,0,0,0,0,4
87051,0,0,0,0,0,4
110094,0,0,0,0,0,4
97502,0,0,0,0,0,4
87533,2,74,34,4,80,80
93618,0,0,0,0,0,4
104086,2,63,63,4,53,25
903979,0,0,0,0,0,4
84764,0,0,0,0,0,4
84766,0,0,0,0,0,4
106170,0,0,0,0,0,4
103040,0,0,0,0,0,4
86316,0,0,0,0,0,4
85155,0,0,0,0,0,4
97983,0,0,0,0,0,4
2781444,2,78,76,4,52,81
94865,0,0,0,0,0,4
89511,9,56,58,4,59,58
2466246,0,0,0,0,0,4
102464,0,0,0,0,0,4
108601,0,0,0,0,0,4
112401,2,58,57,4,52,81
145783,0,0,0,0,0,4
93797,0,0,0,0,0,4
