,mod,wt,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000
95961,2,90,9,14,746,8,20,33
95962,0,12,3,88,465,7,0,929
95963,2,3,5,45,960,7,30,749
95964,0,1,9,47,654,8,30,903
95965,2,13,9,14,332,7,20,617
86658,2,228,9,47,654,7,30,104
86659,0,52,9,47,267,7,30,631
89491,2,13,9,47,654,7,30,749
89490,2,416,9,47,654,7,30,509
89493,2,436,9,14,314,1,30,809
89492,2,205,7,44,844,4,5,400
89495,2,7,7,11,742,4,34,683
89494,2,1,5,45,960,7,6,250
89497,2,438,9,14,199,7,10,545
89496,0,22,7,0,426,4,36,454
89499,2,128,7,74,677,4,23,133
89498,2,438,9,14,738,6,30,841
88720,3,110,9,47,920,7,30,619
88721,126,2264,5,45,124,7,54,826
88722,0,1,9,92,676,8,59,577
88723,2,111,5,37,238,7,45,151
88724,126,2264,9,47,654,1,30,162
88725,3,112,9,14,539,4,30,509
88726,126,2264,9,47,746,8,30,33
88727,2,290,9,57,140,9,21,883
88728,92,1393,3,35,966,2,72,100
88729,126,2264,4,71,718,6,95,297
2539855,126,2264,5,27,859,7,6,986
1383636,1,5,7,44,844,4,5,400
91366,0,3,9,47,654,7,30,821
89235,3,2,3,35,115,2,72,198
89234,2,113,3,35,418,2,72,623
89237,12,114,7,26,128,1,49,787
89236,2,13,7,74,928,7,23,18
89231,2,115,4,89,627,7,87,78
89230,0,50,9,47,654,6,30,104
89233,13,35,1,1,746,1,70,908
89232,126,2264,5,39,547,7,37,537
89239,3,294,6,92,941,8,26,679
89238,2,8,7,74,94,1,23,65
96439,0,12,9,47,654,7,30,509
96438,126,2264,9,18,837,6,16,670
96433,0,116,9,47,738,7,30,509
96432,2,117,7,39,67,7,37,361
96431,2,30,4,67,20,6,98,343
96430,0,3,7,74,928,4,23,472
96437,2,9,5,27,98,7,75,122
96436,2,9,5,82,894,7,87,250
96435,0,22,7,74,570,2,23,372
96434,7,118,9,47,511,1,30,903
94361,2,721,9,47,746,8,30,903
94360,0,22,4,36,228,0,77,258
94363,2,102,9,27,859,7,20,734
94362,0,1,9,14,918,7,30,509
94365,2,348,9,47,654,7,30,509
94364,13,468,2,48,393,4,81,712
94367,7,5,7,66,992,4,29,605
94366,2,13,9,44,677,4,5,471
94369,2,50,9,64,200,4,59,783
94368,2,119,5,37,667,7,45,93
90871,2,25,7,87,175,7,50,741
90870,2,30,5,27,405,7,75,755
90873,2,2,9,47,654,7,30,104
90872,0,120,9,92,625,8,59,577
90875,2,121,6,70,29,9,26,58
90874,2,122,9,61,488,6,7,240
90877,2,470,7,87,796,9,20,69
90876,1,1,5,82,877,7,87,205
90879,0,1,5,27,864,7,75,46
90878,2,471,7,4,841,1,22,710
118307,1,2,5,37,95,7,45,749
118306,2,1,5,39,574,7,37,474
118305,2,1,5,23,58,7,91,882
118304,1,1,0,73,140,4,21,405
118303,1,5,7,74,290,4,23,876
118302,2,14,3,88,734,2,18,774
118300,1,2,7,74,928,2,23,372
118309,1,2,9,8,649,6,89,702
118308,2,1,5,45,859,7,6,557
90295,126,2264,8,63,823,0,50,741
90294,126,2264,7,26,386,1,22,402
90297,2,19,0,41,617,3,67,718
90296,0,36,7,74,37,4,20,994
90291,2,7,9,71,350,0,95,816
90290,0,3,7,8,535,4,89,702
90293,2,126,9,64,407,8,59,63
90292,2,127,7,23,914,7,34,696
101269,126,2264,5,45,334,7,6,589
90299,2,9,7,74,928,7,8,18
90298,2,9,7,11,97,4,34,683
101264,3,12,1,56,834,8,48,386
101265,2,3,9,55,78,7,80,416
97470,2,44,3,35,843,2,53,483
97471,3,502,9,14,746,8,20,509
97472,2,25,7,74,928,2,23,961
97473,2,132,7,6,842,2,24,181
97474,126,2264,7,42,928,4,23,133
97475,3,133,9,8,556,7,89,190
97476,1,2,9,32,37,9,20,17
97477,2,134,5,82,972,7,87,213
97478,0,135,7,29,37,8,20,925
97479,14,136,9,26,554,8,22,268
90123,3,137,6,10,541,9,12,103
90122,0,22,4,36,929,6,77,806
90121,2,79,1,71,137,0,95,649
90120,15,138,5,27,547,7,75,267
90127,2,13,4,71,674,0,95,297
90126,2,111,1,99,205,8,13,33
90125,2,1,2,69,575,4,31,308
90124,0,22,0,73,673,9,21,657
90129,2,139,7,82,273,4,23,506
90128,126,2264,9,47,134,7,30,104
95188,4,461,7,7,60,1,17,841
95189,2,9,9,14,338,8,20,79
95186,2,9,7,60,225,7,65,112
95187,2,140,9,14,205,4,20,125
95184,2,13,3,6,425,2,24,181
95185,0,3,7,74,1,2,72,623
95182,2,141,2,5,508,4,31,322
95183,2,13,9,47,654,4,30,509
95180,2,7,7,71,817,0,95,570
95181,2,141,7,14,456,7,20,994
2490153,126,2264,9,14,205,4,20,986
90500,16,142,7,74,205,7,20,986
91348,2,1,9,14,561,7,20,560
91349,126,2264,9,27,98,7,75,122
106487,126,2264,4,71,817,0,95,570
94678,2,13,5,45,757,7,6,250
91345,2,79,9,47,825,7,30,104
92515,0,1,9,14,310,4,20,393
106485,2,215,7,48,949,7,81,827
2093658,126,2264,9,14,205,4,20,986
106484,0,1,3,35,637,2,72,57
106483,2,30,9,14,746,4,30,509
96989,2,90,9,48,888,4,81,800
91341,2,42,7,74,224,4,23,960
2390269,1,5,4,36,630,6,98,343
106481,2,1,4,36,630,6,77,700
106480,1,2,7,1,293,1,20,292
91454,2,13,7,74,561,1,23,372
91455,2,35,1,1,746,8,51,635
91456,2,147,4,67,143,6,98,895
91457,2,148,4,72,367,6,98,895
91450,2,90,7,26,554,1,22,268
91451,2,149,9,47,746,7,30,903
91452,0,3,7,18,592,1,16,65
91453,3,150,2,5,656,4,31,2
91458,2,151,7,44,97,4,5,751
91459,0,22,9,85,670,7,67,408
95821,2,14,3,88,887,2,18,732
95820,23,1318,4,36,630,6,98,700
95823,0,22,6,64,676,8,59,962
95822,2,13,8,71,350,0,95,570
95825,7,5,9,24,51,0,73,945
95824,2,152,7,74,928,7,23,18
95827,2,57,9,6,308,7,57,442
95826,0,50,7,74,37,7,23,372
91982,126,2264,9,14,37,7,30,509
91983,2,97,5,45,956,7,6,612
91980,2,153,9,60,920,7,10,619
91981,0,3,7,66,382,1,29,943
91986,0,12,7,74,561,8,20,947
91987,2,7,5,45,134,7,6,537
91984,126,2264,9,47,825,2,30,104
91985,0,12,9,14,205,7,30,986
91988,3,155,9,14,746,8,30,33
91989,0,156,9,47,66,8,30,162
110518,1,5,9,14,273,2,20,506
