,mod,wt,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000
88832,126,2264,7,74,561,2,23,947
104816,2,30,4,83,136,6,90,253
104817,50,498,1,31,608,8,13,448
104814,0,35,7,2,255,7,10,449
1146799,2,237,1,7,229,0,76,988
104815,1,5,2,0,764,4,36,473
103357,2,68,7,74,483,4,23,133
1394575,126,2264,8,41,645,3,3,458
104819,1,5,9,14,738,7,11,654
98369,2,13,7,24,51,0,73,141
91640,2,7,7,93,487,4,61,846
98365,126,2264,1,99,42,7,51,771
98364,1,2057,1,56,604,8,13,817
98367,0,69,8,89,605,0,77,576
98361,0,36,9,47,738,7,11,631
98360,1,2,5,27,98,7,75,122
98363,1,2058,7,18,93,1,16,277
98362,1,12,9,47,76,8,11,568
92958,2,391,9,92,941,8,26,823
92959,3,1786,9,61,265,0,7,389
92954,2,391,4,67,157,6,2,939
92955,2,9,9,47,77,7,11,554
92956,2,7,8,86,794,0,93,759
92957,2,7,9,14,290,7,20,876
92950,2,13,7,27,875,7,75,734
92951,0,3,4,36,744,6,77,84
92952,3,1066,3,35,319,2,72,510
92953,2,57,4,72,690,6,95,808
91646,124,1798,8,24,80,1,61,945
96019,0,5,6,64,399,4,25,835
96018,0,3,7,18,47,1,16,94
93029,0,5,2,69,609,4,31,497
93028,1,3,4,36,751,6,77,628
104360,3,1311,5,89,416,7,87,111
96010,0,22,3,13,449,2,69,446
93021,2,318,4,71,751,6,95,628
93020,3,397,1,56,577,8,13,720
93027,0,12,7,93,174,6,61,469
93026,2,9,1,99,153,8,55,247
93025,2,144,7,7,219,2,3,232
93024,3,95,3,98,432,2,42,830
105099,0,3,9,60,998,7,10,915
105098,1,5,7,60,456,7,10,644
106210,0,12,7,11,97,4,34,683
106211,2,1,3,88,188,2,0,16
105091,1,5,7,43,456,2,76,947
105090,1,1,5,27,591,7,75,677
105093,1,5,7,27,591,4,75,677
106219,1,2,7,48,304,1,81,30
105095,1,1,3,13,360,2,69,224
105094,2,68,3,13,622,2,69,844
105097,2,1,1,26,30,8,22,937
105096,2,1,1,26,66,1,22,423
99108,2,13,5,37,606,7,45,151
99109,0,116,3,13,979,2,69,37
99102,2,40,7,71,350,0,95,816
99103,0,12,9,18,969,1,16,389
99100,0,661,8,6,370,0,57,901
99101,2,76,7,74,185,1,23,776
99106,0,131,4,83,136,6,90,253
99107,0,3,4,71,350,0,95,786
99104,0,1,7,48,805,4,81,789
99105,0,12,7,0,421,4,36,197
1520654,1,540,7,28,227,1,46,450
105543,2,9,4,72,708,6,98,478
105542,1,1,3,59,148,2,47,273
105541,1,2,7,74,145,4,23,128
105540,0,12,8,82,349,0,87,730
105547,1,5,2,81,827,4,74,592
105546,1,3,7,18,394,1,16,304
105545,1,2,7,92,802,8,39,464
105544,1,5,9,20,870,0,70,285
105549,2,664,1,82,870,0,70,821
105548,0,52,8,22,383,0,60,193
102011,0,1,4,72,744,6,98,84
102012,0,3,1,7,456,1,76,644
102013,0,3,8,22,613,0,60,982
102014,2,11,8,63,107,0,24,217
102015,2,11,8,2,63,0,50,562
102016,0,11,3,88,104,2,18,504
102017,88,1980,1,6,308,2,57,921
102018,2,1,9,48,503,7,81,662
102019,2,1,7,71,350,0,95,786
89291,2,8,3,98,771,2,42,436
89290,2,14,3,71,351,0,95,811
91050,0,35,1,56,586,8,60,995
91051,0,62,7,48,805,4,81,789
91052,2,53,1,56,96,8,13,206
103651,1,1,9,42,738,7,55,496
103650,3,204,3,98,808,2,42,551
91562,2,17,4,36,957,6,77,878
91563,126,2264,7,57,744,6,92,84
91564,2,13,7,11,97,4,34,339
91565,0,3,4,72,791,6,98,366
91566,0,3,3,98,808,2,42,830
91567,0,3,3,98,808,2,42,731
91568,2,13,3,98,808,2,42,731
103658,2,189,3,98,771,2,42,436
106715,2,653,3,88,734,2,0,774
106714,1,9,4,72,791,8,3,988
145668,0,803,1,20,970,2,48,386
145669,1,83,1,53,839,8,60,616
145662,1,5,8,22,613,0,60,140
145663,2,9,4,36,201,6,2,766
145660,2,13,3,6,88,2,57,134
145661,2,1,3,58,288,2,9,424
145666,126,2264,7,74,561,0,23,947
145667,2,1,7,59,224,1,19,168
145664,1,2,8,63,107,0,50,217
145665,1,1,7,0,529,4,36,454
101659,126,2264,8,6,816,0,24,88
101658,0,1959,1,14,590,8,39,716
101653,3,2062,1,99,878,7,55,716
101652,0,2063,7,61,60,1,3,841
101651,0,415,7,49,100,4,3,916
101650,0,1,3,6,909,2,24,62
101657,0,11,9,47,898,7,11,568
101656,0,804,7,59,494,1,47,73
101655,2,1,7,7,227,1,46,262
101654,0,12,7,28,227,1,46,262
109102,1,5,3,98,527,2,42,830
109101,1,1,7,77,212,7,20,785
109100,1,1,0,66,947,4,39,563
103511,2,1,1,0,117,1,36,625
92033,3,522,1,56,944,8,13,443
92032,0,5,9,14,746,8,20,125
92031,3,1233,3,98,771,2,42,830
92030,2,7,1,0,357,8,44,748
92037,0,2064,9,44,161,4,5,252
92036,8,1520,7,66,947,4,39,114
92035,0,22,6,92,277,4,26,114
92034,3,509,9,93,600,7,61,469
100306,1,3,8,63,14,0,55,654
100307,2,7,1,68,102,1,93,767
92039,2,362,4,61,929,6,77,585
92038,0,1,3,35,843,2,53,483
100302,2,1633,7,11,97,4,34,339
1306761,126,2264,1,99,204,8,55,953
100300,2,34,1,31,180,8,76,680
100301,0,52,7,82,387,6,23,420
618680,1,1,1,68,41,8,93,907
86908,2,2,2,69,478,4,96,269
86909,126,2264,7,77,683,2,86,89
86906,126,2264,1,1,515,1,97,809
86907,2,919,1,0,399,4,4,835
86904,2,13,7,48,483,4,3,507
86905,4,514,7,57,185,1,92,306
86902,65,1389,4,72,593,6,58,949
86903,126,2264,2,5,656,4,31,2
86900,0,515,8,61,265,0,7,225
86901,2,19,7,35,236,2,53,271
2760668,1,83,8,61,269,0,7,544
2760669,1,1,7,74,947,4,17,114
109474,1,5,7,74,647,8,23,920
91209,2,13,1,20,528,8,70,754
2680437,2,30,7,26,862,1,22,710
2680438,2,1,0,66,947,4,17,563
2680439,1,83,1,26,514,8,22,266
620567,1,5,3,13,979,2,69,224
85767,2,13,8,63,14,0,50,217
85766,2,428,8,83,318,6,90,253
85765,2,646,9,14,738,7,20,940
85764,104,2065,5,37,144,7,45,564
85763,2,2066,9,71,350,0,95,816
85762,2,7,3,88,942,1,0,774
85761,2,67,7,35,180,2,53,680
85760,126,2264,7,46,21,4,36,220
85769,2,7,3,99,848,2,55,934
85768,0,5,7,48,326,4,81,699
87699,126,2264,5,37,471,7,45,880
87698,126,2264,7,18,47,1,16,74
87695,2,441,7,1,185,1,23,776
87694,126,2264,2,55,774,4,55,668
87697,126,2264,8,63,576,0,50,538
87696,2,546,6,64,740,9,64,357
87691,0,2067,7,93,80,4,61,945
87690,3,2,8,68,41,1,93,907
87693,1,83,4,83,136,6,90,253
87692,2,44,8,22,383,6,60,193
89954,3,578,7,74,185,1,23,306
108875,1,2,9,1,59,8,11,433
2620845,126,2264,4,59,883,1,47,899
108876,1,5,7,14,444,1,20,994
108877,1,2,8,82,42,7,51,415
108870,126,2264,6,92,799,9,94,95
108871,1,5,3,88,871,2,18,719
108872,31,1,7,68,997,8,19,325
108873,1,2,1,14,740,8,64,357
86128,126,2264,9,47,898,8,11,568
86129,2,626,9,47,941,8,11,823
108587,1,5,9,47,898,0,11,568
86124,2,13,6,31,118,8,52,231
108878,1,2,1,26,386,1,22,672
86126,3,934,1,26,540,1,22,937
86127,126,2264,6,92,802,8,39,464
86120,126,2264,8,93,80,1,61,105
86121,126,2264,1,1,192,1,92,632
86122,2,128,1,1,505,8,76,413
108879,1,877,1,56,335,8,48,448
219510,0,1,1,20,137,8,70,658
219512,1,2,2,69,45,4,31,747
89095,126,2264,8,89,147,0,87,24
89094,126,2264,8,61,265,0,7,225
89097,0,52,2,80,427,4,36,220
89096,0,2069,3,35,302,2,66,139
89091,2,7,9,47,898,8,11,568
89090,126,2264,1,7,229,8,3,988
89093,0,36,5,0,502,4,54,797
89092,126,2264,1,26,514,8,22,266
89099,2,8,7,24,51,1,73,141
89098,126,2264,1,14,898,7,20,568
96259,0,13,7,93,22,4,61,105
96258,2,9,3,35,236,2,53,271
96253,3,28,7,57,836,1,92,239
96252,3,41,7,87,658,7,50,145
96251,0,22,9,14,511,8,11,285
96250,0,105,9,14,918,8,51,685
96257,3,28,7,74,928,4,23,372
96256,2,1,4,72,791,6,98,766
96255,3,2,7,74,561,7,23,947
96254,0,50,4,61,269,6,7,544
97768,0,47,7,74,561,7,23,544
97769,0,896,8,24,80,1,61,945
88168,126,2264,3,6,555,2,57,901
88169,126,2264,7,24,51,0,73,141
89323,2,8,7,74,194,4,23,502
89322,15,138,7,74,928,4,23,133
89321,0,313,9,71,206,0,50,381
89327,2,61,1,1,395,8,92,808
89326,80,991,3,35,43,2,53,500
89325,2,154,3,88,816,2,0,844
89324,0,315,1,56,834,8,48,371
89329,0,22,7,4,554,1,22,268
89328,2,2072,9,14,738,7,20,841
103516,0,13,9,48,738,7,11,841
88162,126,2264,9,47,267,6,11,559
103514,0,346,4,55,800,7,2,766
103515,0,346,7,74,690,7,23,91
103512,0,12,3,88,964,2,18,929
103513,0,12,1,99,127,8,55,207
103510,0,10,7,18,733,1,16,277
97761,2,204,1,61,265,0,7,225
97762,0,12,7,6,515,7,57,107
103518,2,68,4,57,744,6,92,84
103519,126,2264,7,7,706,1,3,841
97763,0,12,3,13,360,2,69,522
94099,2,42,7,53,839,1,60,616
94098,2,2073,1,77,683,2,86,232
94097,2,587,9,47,209,6,11,878
88166,3,157,7,7,6,8,3,75
94095,0,12,7,18,758,1,16,670
94094,2,1,7,65,688,4,20,595
94093,1,2,2,16,784,4,96,407
94092,126,2264,2,69,682,4,31,793
94091,1,2,9,14,898,8,20,568
88167,0,12,3,6,111,2,24,88
84858,126,2264,4,36,260,0,77,905
90969,3,89,9,99,176,4,55,815
90968,2,234,9,6,308,4,57,921
90967,2,44,7,74,561,7,23,947
90966,43,1442,3,35,723,2,72,100
90965,0,36,3,6,722,2,24,88
97767,2,2001,9,2,255,7,50,391
90963,2,9,9,47,267,7,11,509
90962,2,13,7,57,1,1,92,984
90961,0,3,9,47,542,0,11,559
90960,15,1,6,15,533,8,52,990
2445445,2,2,3,88,564,2,18,315
99344,1,2,9,47,746,7,11,771
99345,1,2,3,6,842,2,24,181
99346,3,871,7,18,448,1,16,233
99347,0,12,7,1,102,1,70,767
99340,3,345,0,41,645,3,36,458
99341,3,296,7,80,829,4,36,220
99342,3,1,1,26,30,1,22,622
99343,3,12,7,93,174,1,61,35
99348,1,1,7,77,683,2,86,865
99349,0,3,8,82,224,1,87,908
118251,1,5,7,89,605,6,20,576
118250,1,83,4,72,718,6,95,297
118253,0,1,6,92,680,8,59,881
118252,2,30,2,74,682,8,23,793
118255,1,5,9,14,6,4,20,17
118254,1,5,4,36,228,6,77,258
118257,1,59,7,74,706,2,23,472
118256,2,189,7,77,683,2,86,89
118259,1,5,7,11,513,4,34,142
118258,0,30,9,99,266,8,51,146
1096161,50,498,3,58,938,2,18,424
97610,0,35,7,44,977,4,34,751
92503,2,2074,1,0,50,0,20,214
97612,35,2075,9,47,511,0,11,6
97613,0,3,9,47,430,8,11,554
97614,0,12,7,26,841,1,22,971
97615,0,30,9,47,511,8,11,285
97616,0,36,9,73,673,4,21,657
97617,0,36,3,13,360,2,69,224
97618,0,36,3,13,360,2,18,522
97619,0,1837,3,88,847,2,0,731
92501,2,3,9,47,738,1,11,841
90343,2,13,7,0,563,4,20,819
90342,3,1467,8,82,275,1,3,994
90341,0,22,3,88,942,2,18,183
90340,1,2077,3,88,843,2,18,483
90347,2,2078,9,68,186,1,93,548
90346,2,51,2,69,670,4,31,752
90345,2,2050,3,13,979,2,69,37
90344,2,2079,2,5,819,4,31,820
90349,2,13,9,92,366,8,20,443
90348,0,215,9,63,576,7,50,538
107045,1,5,9,47,738,1,11,125
92505,0,48,3,98,527,2,42,830
107047,0,21,7,61,733,1,7,277
95898,0,22,4,71,718,6,95,297
95899,0,10,8,82,60,0,7,485
2009288,3,397,5,45,606,7,80,151
103906,0,82,3,88,728,2,18,288
106821,1,1,7,93,174,7,61,35
106820,2,9,7,74,877,2,23,980
91760,2,57,7,0,500,8,36,818
91761,2,641,6,64,903,8,59,728
91766,2,129,4,72,751,6,98,628
91767,0,642,1,99,265,0,13,225
106827,2,68,3,88,480,2,18,288
106826,31,1,7,60,216,7,65,109
106829,1,2082,2,74,539,4,70,658
106828,1,5,8,38,177,0,63,900
91768,36,1186,8,2,691,7,87,826
91769,2,44,3,88,555,2,18,85
93728,2,240,7,74,261,1,7,654
93729,3,7,1,43,521,8,76,316
93720,13,7,4,36,662,7,2,29
93721,2,475,9,47,542,1,11,559
93722,2,6,1,31,618,8,76,920
93723,2,2,8,68,39,0,93,321
93724,2,1,8,63,107,0,50,966
93725,2,1128,9,63,914,0,24,966
93726,3,28,3,13,449,2,69,446
93727,126,2264,9,14,569,4,20,125
111397,1,5,9,60,707,7,65,598
111399,1,30,9,14,569,8,20,125
111398,1,30,9,56,76,8,11,554
1100531,1,7,7,74,137,8,23,372
110999,1,5,1,82,614,8,22,384
92239,2,224,9,47,430,8,11,103
92238,2,151,1,43,647,8,44,920
2679834,2,1,6,92,802,8,39,464
2679835,2,1,7,74,362,2,57,961
92235,13,2083,7,6,308,4,57,921
92234,0,12,8,38,242,0,63,900
92237,2,151,3,88,734,2,18,774
92236,58,2084,9,99,337,8,55,634
92231,2,13,9,46,157,6,20,636
92230,2,7,9,14,600,0,51,740
92233,3,2085,9,47,542,7,11,559
92232,2,13,2,69,996,4,31,497
93188,0,50,3,88,990,2,18,669
93189,126,2264,3,13,360,2,69,481
93184,2,44,6,66,585,8,55,329
93185,2,364,4,36,692,6,77,366
93186,2,13,7,65,135,4,23,261
93187,2,1,7,65,135,4,23,261
93180,2,13,3,13,816,2,69,844
93181,24,860,5,37,144,7,45,564
93182,2,1103,7,60,487,4,10,846
110993,0,1,7,26,554,1,22,268
98758,0,36,3,88,990,2,18,621
98759,2,13,3,88,990,2,18,621
98750,2,7,1,99,904,0,51,654
98751,0,7,7,26,772,1,22,65
98752,0,69,7,74,94,1,23,994
98753,0,22,3,35,302,2,53,866
98754,3,89,3,6,310,0,0,799
98755,1,1,8,82,172,0,7,607
98756,126,2264,4,36,674,0,77,78
98757,0,3,8,82,269,0,87,544
110440,1,5,8,38,177,0,63,900
110441,2,1,3,58,288,2,18,424
110442,1,1,8,82,275,0,87,137
110443,31,1,7,4,396,1,22,888
104539,1,2,9,48,304,7,3,517
104538,2,67,6,14,103,9,94,95
104531,0,21,7,26,66,1,22,423
104530,3,2,2,69,45,4,31,495
104533,0,5,3,59,978,2,0,273
104532,1,5,6,15,533,9,52,567
104535,1,1,9,60,707,7,10,598
104534,1,2,8,22,613,0,60,140
104537,0,21,9,47,11,8,51,554
104536,2,36,7,7,180,2,3,680
95896,2,668,9,47,906,2,11,125
95897,126,2264,8,2,499,0,87,425
99809,82,1340,9,26,66,1,22,162
99808,0,1,9,18,631,8,16,670
99803,1,12,6,64,181,8,59,421
99802,10,1434,9,47,898,6,11,568
99801,0,12,8,63,107,0,50,217
99800,2,259,7,48,393,4,81,827
99807,1,12,9,47,430,0,11,568
99806,2,2,4,39,662,0,37,29
99805,7,5,9,63,107,0,50,217
99804,0,13,7,74,850,4,23,999
105662,1,2,9,41,294,3,81,631
105663,2,1,1,56,614,1,13,384
105660,1,1,3,13,979,2,69,37
105661,1,2,7,60,28,7,10,449
105668,0,21,7,65,135,4,20,261
105669,0,1,4,83,346,6,90,27
106001,29,255,1,99,600,7,51,554
106000,1,5,9,71,350,0,95,816
106007,1,5,7,60,807,4,10,864
106009,2,30,7,60,445,7,10,864
106008,1,5,3,88,887,2,0,732
96424,1,2,8,63,107,0,50,966
96425,1,2,9,47,738,8,11,554
96426,1,2,9,47,738,0,11,6
96427,1,2,4,74,94,1,23,482
96420,0,3,7,95,290,7,23,160
96421,0,22,8,53,326,1,81,736
107750,1,2,7,74,37,4,23,372
107751,0,10,9,36,800,7,2,766
107752,1,2,7,18,227,1,16,74
107753,1,2,7,60,789,7,65,332
107754,1,2,5,27,875,7,75,70
89220,2,13,9,14,37,7,20,125
107756,1,5,1,56,700,0,13,27
107757,1,2,9,47,76,8,11,554
107758,1,2,3,13,979,2,69,844
96423,126,2264,3,88,847,2,19,844
2812210,1,2,7,0,529,4,36,454
109808,2,30,7,74,647,8,20,920
109809,1,5,0,73,846,8,21,79
109806,2,2,9,47,76,8,11,135
109807,0,21,5,55,78,7,80,91
109805,1,5,1,43,42,0,76,413
112774,1,5,7,74,439,4,23,39
112775,1,2,7,87,175,7,50,69
112776,2,1,7,87,175,7,50,145
112777,0,1,4,83,55,6,90,27
112770,2,1,3,58,16,2,42,412
112771,1,2,7,8,770,7,89,190
112772,2,2,7,87,456,7,20,947
112773,1,2,7,57,1,1,92,984
1115307,0,36,9,14,395,8,20,753
112778,2,1,9,14,608,8,11,226
112779,1,5,7,4,592,1,22,971
88438,0,22,1,56,338,8,61,79
88439,0,1870,7,68,659,1,93,344
88430,3,112,5,27,859,4,75,885
88432,3,2011,9,14,290,7,20,160
88433,2,2087,8,63,605,0,87,966
88434,2,253,3,6,626,2,57,88
88435,3,253,9,15,533,8,52,567
88436,2,189,7,59,241,2,9,675
88437,126,2264,7,18,969,1,16,304
100401,1,3,4,72,490,6,98,721
100400,7,598,7,11,742,4,34,683
100403,1,1,9,99,902,0,55,579
100402,0,3,4,36,228,6,98,524
100405,0,69,9,14,276,7,20,626
100404,2,13,7,18,733,1,16,277
100407,2,0,4,36,878,6,77,977
100406,1,2,9,55,260,0,80,905
100409,0,1,7,80,439,4,36,295
100408,0,1,7,74,561,4,20,947
108170,1,5,7,74,561,4,20,947
84892,126,2264,4,67,201,6,2,766
84893,126,2264,3,13,180,2,69,680
84890,126,2264,7,44,713,4,5,9
84891,126,2264,7,11,97,4,34,751
84896,126,2264,9,39,471,7,37,880
84897,126,2264,9,6,571,7,57,438
84894,126,2264,6,3,311,4,27,312
84895,126,2264,3,13,440,2,69,780
84898,126,2264,9,47,542,6,11,559
84899,126,2264,8,89,416,0,87,96
98428,2,857,9,47,738,7,11,568
98429,2,13,7,42,712,7,23,484
86009,41,2088,1,43,738,7,76,841
86008,2,234,8,82,124,7,87,205
86007,126,2264,9,14,947,4,17,611
86006,126,2264,3,88,708,8,0,478
86004,126,2264,8,89,39,0,87,868
86003,126,2264,7,35,906,2,39,501
86002,126,2264,3,35,302,2,39,549
86001,126,2264,9,29,204,9,56,953
86000,2,1041,3,58,288,2,9,424
91245,2,150,7,74,561,8,23,947
91244,0,1061,1,6,456,2,76,88
91247,2,289,3,88,942,2,18,288
91246,126,2264,9,55,78,7,80,300
91241,2,17,7,74,37,1,23,306
91240,2,129,8,89,349,0,87,425
91243,126,2264,9,14,569,7,20,125
91242,126,2264,7,60,28,7,10,186
91249,2,42,1,56,335,8,76,309
98426,1,3,7,57,301,1,92,883
98427,1,2,9,36,674,0,77,258
101758,2,9,7,29,204,9,56,953
101759,0,12,3,88,82,2,18,514
101756,0,1,0,73,947,4,17,611
101757,2,7,8,82,42,0,87,137
101754,2,7,7,26,841,1,22,971
101755,0,10,9,14,569,8,11,17
101752,2,13,9,99,898,0,13,568
101753,0,1,9,24,51,1,73,141
101750,0,1,8,63,107,0,24,217
101751,0,9,7,74,561,0,23,372
93360,2,30,8,18,733,1,16,277
104022,2,88,7,48,421,4,81,695
101053,1,3,8,61,265,0,7,389
93363,2,141,3,35,966,2,72,100
101055,0,661,1,99,204,8,55,953
93365,2,242,9,14,881,1,46,262
89419,0,2061,3,88,480,2,18,929
93366,2,398,8,93,773,0,61,105
89418,0,22,8,63,576,0,91,538
104024,0,346,7,18,758,1,16,603
93368,2,151,5,45,606,7,80,749
101058,0,10,9,99,77,7,11,771
93328,2,90,6,64,625,8,59,63
89411,0,50,9,14,438,4,20,834
89410,2,1689,7,74,561,7,20,947
89413,2,1629,9,47,542,4,11,559
89412,126,2264,8,2,576,0,50,455
89415,2,2091,9,14,199,7,10,545
89414,0,3,9,60,707,7,10,542
89417,126,2264,1,7,83,0,70,635
89416,2,440,1,29,204,8,56,953
103668,0,1,7,74,537,8,23,372
103669,0,21,3,74,408,2,0,779
103665,2,801,9,73,947,8,21,114
103666,2,30,7,0,681,4,36,144
103667,0,3,7,74,561,4,20,947
103660,1,2,1,56,763,8,13,611
103661,2,68,7,60,707,7,10,186
103662,2,21,6,92,802,8,39,464
103663,1,2,7,77,52,2,86,865
94445,15,1284,7,77,52,2,86,89
108816,2,1,2,69,197,4,31,269
108817,1,3,7,74,219,2,23,232
108814,2,1,9,94,221,8,11,171
108815,0,52,7,82,124,7,23,730
108812,0,36,8,82,275,0,87,137
108813,1,5,9,73,673,4,21,657
108810,1,5,7,26,554,6,22,937
108811,1,2,9,14,76,8,20,955
108818,2,30,1,26,514,8,22,622
108819,0,1,2,66,992,4,29,161
87156,3,464,1,10,541,8,12,103
87157,126,2264,9,60,855,7,65,387
87154,2,2094,9,47,542,2,11,559
87155,0,22,7,87,796,7,50,69
87152,2,237,1,56,635,8,48,676
87153,0,3,9,47,746,8,11,554
87150,2,9,3,35,906,2,53,271
87151,2,440,3,13,990,2,69,224
2490089,126,2264,3,35,966,2,72,100
87158,2,44,7,68,997,1,93,548
87159,2,7,5,27,591,7,75,677
89420,2,639,7,60,591,7,10,677
89421,0,22,4,26,554,6,22,268
89422,2,1,9,8,770,7,89,702
89423,0,156,9,14,419,8,20,935
118475,2,68,1,10,541,8,12,103
89425,2,9,6,15,533,8,52,863
118477,2,1,3,13,979,2,69,705
89427,0,815,4,72,868,6,98,523
89428,2,816,7,74,414,2,23,947
89429,2,817,7,0,438,4,20,834
1997012,1,2,8,2,63,0,50,562
95939,2,13,8,87,63,0,50,455
95938,0,12,6,21,799,8,25,302
95933,1,5,8,71,350,0,95,816
95932,2,13,9,94,153,8,64,248
95931,2,25,8,89,621,0,87,24
95930,2,13,4,72,708,0,98,478
95937,1,1,9,63,576,0,11,654
95936,3,407,9,44,977,4,5,909
95935,0,3,9,47,430,0,11,381
95934,0,3,7,62,537,8,33,829
87904,2,13,7,68,997,1,93,548
88773,109,2096,4,72,290,7,98,876
88772,126,2264,6,64,615,9,64,171
88771,2,2097,9,64,237,8,35,975
88770,3,170,9,14,524,8,55,488
88777,0,215,7,74,561,8,20,947
88776,7,800,7,74,290,4,23,876
88775,0,1,1,99,266,8,51,146
88774,126,2264,9,26,66,1,11,162
88779,2,50,1,14,846,8,20,79
88778,2,9,7,26,772,1,22,825
97795,2,13,9,99,904,0,51,334
90286,2,40,4,36,929,6,77,585
97797,2,9,9,87,796,7,50,69
97796,1,2,7,74,561,9,23,372
97791,2,350,1,43,910,8,48,843
97790,2,2098,1,56,532,8,48,293
97793,0,12,1,28,696,1,97,768
99550,0,50,7,4,841,1,22,851
97799,0,3,1,1,389,1,92,984
99553,126,2264,7,59,494,1,47,485
99552,2,567,1,31,618,8,48,448
99555,0,501,2,69,268,4,31,194
99554,2,1,7,26,772,1,22,710
99557,0,2099,9,71,350,0,95,381
99556,3,5,2,5,685,4,31,619
96770,126,2264,7,28,227,1,46,450
96771,0,1107,4,36,228,0,77,258
96772,2,668,8,63,107,0,50,217
96773,2,475,3,88,942,2,18,288
96774,1,30,7,4,396,1,47,460
96775,3,352,7,0,529,4,36,454
96776,2,44,7,7,212,2,3,485
96777,2,44,8,82,275,7,87,137
96778,2,25,3,35,236,2,66,271
96779,2,1,3,13,979,2,69,224
97423,1,2,7,48,338,6,81,79
97422,2,475,3,88,979,2,18,929
97421,0,12,8,82,377,0,87,583
97420,0,22,9,20,137,8,70,658
97427,1,2,9,39,183,7,37,857
97426,0,36,3,6,889,2,57,134
97425,0,36,7,74,153,1,17,472
97424,3,41,7,68,186,1,93,110
97429,0,12,7,60,789,7,65,332
97428,2,25,8,22,902,0,60,822
94688,0,50,9,57,127,1,20,753
94689,2,781,9,47,898,8,11,568
94687,1,1,9,47,746,1,11,554
94684,0,3,1,26,386,1,22,622
94685,0,3,9,14,569,8,11,125
94682,0,50,3,88,195,2,18,532
94683,1,2,7,26,592,1,46,65
94680,0,105,9,77,219,2,86,232
94681,2,290,9,47,898,8,11,568
102269,0,10,9,55,226,7,80,965
102268,2,22,7,8,663,7,89,965
102263,2,30,7,26,30,1,22,622
102262,0,2100,7,2,255,0,50,449
102261,2,9,2,48,387,4,81,420
102260,0,82,7,0,950,4,36,605
102267,2,1,7,74,251,8,23,306
102266,0,35,5,27,73,7,75,70
102265,2,1,7,74,212,2,23,485
102264,2,1,8,82,961,7,37,915
95483,2,1,7,48,453,4,81,394
95482,2,1478,9,47,77,8,51,554
95481,2,13,9,55,78,7,20,766
95480,2,439,4,36,857,6,98,462
95487,0,1116,7,18,448,1,16,233
95486,0,156,7,44,977,4,5,339
95485,0,3,6,21,799,8,25,421
95484,2,7,7,0,529,4,36,454
95489,0,3,7,77,683,2,86,89
95488,0,22,3,13,979,2,69,37
99689,0,1,9,92,680,8,59,761
99688,0,12,9,42,78,7,80,496
99685,2,1,3,88,942,2,18,288
99684,126,2264,7,14,652,7,20,994
99687,2,1,1,1,700,8,13,615
99686,2,1,8,82,577,0,87,720
99681,0,135,9,14,503,7,11,496
99680,2,1,9,99,738,8,11,654
99683,2,76,4,83,929,6,77,585
99682,0,3,4,72,744,6,98,664
95159,0,52,7,82,275,1,22,268
95150,2,1,7,0,426,4,36,454
93325,2,63,3,88,461,2,9,599
112572,1,5,8,2,499,0,50,425
112573,1,2,4,87,796,6,50,69
112570,1,2,7,74,561,0,23,372
112571,2,1,7,57,836,1,92,239
112576,0,21,3,58,938,2,69,0
112577,2,7,8,61,269,0,7,544
112574,2,1,2,69,45,4,31,495
112575,0,1,4,71,674,0,95,297
112578,2,1,4,36,627,6,77,948
112579,1,83,3,13,816,2,69,844
111218,2,30,9,47,430,2,11,459
111219,2,1,7,14,37,7,20,91
111212,0,1,7,57,505,1,92,336
111213,0,12,4,36,598,7,2,524
111210,28,250,4,83,346,6,90,253
111211,1,1,9,14,738,7,55,496
111216,0,3,9,14,145,7,20,128
111217,1,2,7,54,795,4,36,299
111214,1,2,9,48,303,4,81,789
111215,1,1,9,61,265,1,7,389
92688,1,1,2,69,609,4,39,497
92689,2,153,9,63,107,0,11,217
107343,1,5,9,47,34,0,11,868
107342,1,5,9,14,76,8,11,568
92682,2,139,9,47,430,2,11,125
107340,1,2,7,14,153,8,20,10
92684,2,13,7,0,529,4,36,605
92685,0,105,7,0,764,4,36,473
92686,2,837,9,14,918,2,0,685
107344,1,1,8,61,256,0,7,528
91487,3,387,1,99,172,7,76,607
91486,2,9,3,88,942,2,18,288
91485,8,1520,3,77,683,2,86,232
91484,2,66,6,92,680,8,59,881
91483,0,22,7,0,399,4,36,444
91482,2,141,9,77,683,2,86,232
91481,0,48,1,56,763,8,13,480
91480,3,62,7,4,841,1,22,971
91489,0,3,7,0,399,4,36,444
91488,0,3,8,61,265,0,7,225
100319,2,7,8,93,600,0,61,469
100318,0,52,9,66,524,4,20,488
95319,0,12,9,47,542,0,11,559
100315,0,1,7,74,185,4,23,776
95318,0,22,2,73,673,4,21,657
100314,0,3,8,2,14,0,50,538
100317,2,0,8,82,888,0,87,137
100316,2,217,6,64,369,8,59,962
100311,2,189,9,14,546,8,20,189
100310,2,1,3,35,723,2,53,100
100313,0,50,3,58,940,2,42,424
100312,0,5,9,47,868,8,11,523
95311,2,9,5,45,956,7,6,749
95310,0,3,8,2,255,0,50,425
93993,126,2264,7,74,362,2,9,961
98659,2,1,9,64,625,8,59,577
98658,0,33,9,8,556,7,89,185
