CLid,year,indegree,pagerank
2620682,1896,1,4.53339032716e-05
2620683,1896,2,8.81123750218e-05
2620706,1827,2,0.000100508400917
2620709,1877,1,4.27111838584e-05
2620726,1907,0,3.90254471803e-05
2620727,1907,4,5.37363536792e-05
2620728,1850,1,8.70626414588e-05
2620738,1892,3,6.08935696044e-05
2620739,1892,6,0.000112814842049
2620745,1867,1,0.000260169647867
2620746,1867,1,0.000260169647867
2620762,1833,0,3.90254471803e-05
2620763,1878,3,6.20876281092e-05
2620768,1803,0,3.90254471803e-05
2620769,1803,0,3.90254471803e-05
2620770,1803,1,7.21970772835e-05
2620772,1909,0,3.90254471803e-05
2620773,1909,1,6.11322704026e-05
2620774,1909,0,3.90254471803e-05
2620776,1908,0,3.90254471803e-05
2620777,1908,0,3.90254471803e-05
2620778,1909,1,4.37642514808e-05
2620779,1909,1,5.20160546408e-05
2620780,1908,0,3.90254471803e-05
2620781,1908,0,3.90254471803e-05
2620782,1909,0,3.90254471803e-05
2620783,1908,1,4.45540521975e-05
2620784,1885,1,6.322455204e-05
2620812,1829,1,0.000260169647867
2620813,1829,0,3.90254471803e-05
2620814,1804,1,0.000260169647867
2620815,1805,1,0.000260169647867
2620816,1805,1,0.000260169647867
2620817,1804,1,0.000260169647867
2620818,1791,0,3.90254471803e-05
2620819,1805,0,3.90254471803e-05
2620820,1805,0,3.90254471803e-05
2620821,1803,0,3.90254471803e-05
