abbrev,name,count,jurisdiction,citation_abbrev,start_date,end_date,in_use,last_modified,horizontal,vertical
caeb,United States Bankruptcy Court E.D. California,274,Federal Bankruptcy,Bankr. E.D. Cal.,Unknown,Unknown,Yes,2013-08-14T18:03,CA,other
canb,United States Bankruptcy Court N.D. California,337,Federal Bankruptcy,Bankr. N.D. Cal.,Unknown,Unknown,Yes,2013-08-14T17:30,CA,other
casb,United States Bankruptcy Court S.D. California,348,Federal Bankruptcy,Bankr. S.D. Cal.,Unknown,Unknown,Yes,2013-08-14T17:30,CA,other
cob,United States Bankruptcy Court D. Colorado,744,Federal Bankruptcy,Bankr.D. Colo.,Unknown,Unknown,Yes,2013-08-14T17:23,CO,other
ctb,United States Bankruptcy Court D. Connecticut,822,Federal Bankruptcy,Bankr. D. Conn.,Unknown,Unknown,Yes,2013-08-14T17:24,CT,other
deb,United States Bankruptcy Court D. Delaware,873,Federal Bankruptcy,Bankr. D. Del.,Unknown,Unknown,Yes,2013-08-15T09:45,DE,other
dcb,United States Bankruptcy Court District of Columbia,1,Federal Bankruptcy,Bankr. D.C.,Unknown,Unknown,Yes,2013-08-14T17:00,DC,other
flmb,United States Bankruptcy Court M.D. Florida,2870,Federal Bankruptcy,Bankr. M.D. Fla.,Unknown,Unknown,Yes,2013-08-14T17:05,FL,other
flnb,United States Bankruptcy Court N.D. Florida,266,Federal Bankruptcy,Bankr. N.D. Fla.,Unknown,Unknown,Yes,2013-08-14T17:44,FL,other
flsb,United States Bankruptcy Court S.D. Florida.,1632,Federal Bankruptcy,Bankr. S.D. Florida,Unknown,Unknown,Yes,2013-08-14T16:54,FL,other
gamb,United States Bankruptcy Court M.D. Georgia,463,Federal Bankruptcy,Bankr. M.D. Ga.,Unknown,Unknown,Yes,2013-08-14T22:53,GA,other
ganb,United States Bankruptcy Court N.D. Georgia,812,Federal Bankruptcy,Bankr. N.D. Ga.,Unknown,Unknown,Yes,2013-08-14T17:41,GA,other
gasb,United States Bankruptcy Court S.D. Georgia,361,Federal Bankruptcy,Bankr. S.D. Ga.,Unknown,Unknown,Yes,2013-08-14T16:32,GA,other
hib,United States Bankruptcy Court D. Hawaii,163,Federal Bankruptcy,Bankr. D. Haw.,Unknown,Unknown,Yes,2013-08-15T09:30,HI,other
idb,United States Bankruptcy Court D. Idaho,430,Federal Bankruptcy,Bankr. D. Idaho,Unknown,Unknown,Yes,2013-08-14T18:15,ID,other
ilcb,United States Bankruptcy Court C.D. Illinois,428,Federal Bankruptcy,Bankr. C.D. Ill.,Unknown,Unknown,Yes,2014-11-24T09:04,IL,other
ilnb,United States Bankruptcy Court N.D. Illinois,1917,Federal Bankruptcy,Bankr. N.D. Ill.,Unknown,Unknown,Yes,2014-11-24T09:04,IL,other
ilsb,United States Bankruptcy Court S.D. Illinois,220,Federal Bankruptcy,Bankr. S.D. Ill.,Unknown,Unknown,Yes,2013-08-15T09:06,IL,other
innb,United States Bankruptcy Court N.D. Indiana,366,Federal Bankruptcy,Bankr. N.D. Ind.,Unknown,Unknown,Yes,2013-08-15T09:34,IN,other
insb,United States Bankruptcy Court S.D. Indiana,170,Federal Bankruptcy,Bankr. S.D. Ind.,Unknown,Unknown,Yes,2013-08-15T09:19,IN,other
ianb,United States Bankruptcy Court N.D. Iowa,397,Federal Bankruptcy,Bankr. D. Iowa,Unknown,Unknown,Yes,2013-08-14T17:37,IA,other
iasb,United States Bankruptcy Court S.D. Iowa,138,Federal Bankruptcy,Bankr. S.D. Iowa,Unknown,Unknown,Yes,2013-08-14T18:01,IA,other
ksb,United States Bankruptcy Court D. Kansas,624,Federal Bankruptcy,Bankr. D. Kan.,Unknown,Unknown,Yes,2013-08-14T16:43,KS,other
kyeb,United States Bankruptcy Court E.D. Kentucky,116,Federal Bankruptcy,Bankr. E.D. Ky.,Unknown,Unknown,Yes,2013-08-15T10:03,KY,other
