,mod,wt,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000,hc_10,hc_100,hc_1000
95742,0,12,5,75,933,9,84,308,1,25,946
95743,2,50,0,75,933,9,84,308,1,25,492
109509,1,1,7,15,801,0,96,818,1,29,177
109508,2,68,7,9,749,6,64,810,1,65,596
109503,2,1,0,69,943,0,43,716,8,35,505
109507,0,3,5,75,341,9,84,879,7,5,32
109506,1,2,0,16,31,0,53,604,8,35,703
109505,1,5,3,12,23,7,81,537,1,90,115
109504,1,83,7,84,801,7,98,411,0,0,474
112451,1,5,7,9,520,0,64,973,1,65,596
112450,1,1,7,9,520,6,64,213,1,65,596
112453,1,5,7,47,785,6,60,950,0,74,777
112452,1,2,7,43,766,6,23,66,0,47,358
112455,1,1,4,52,165,4,57,217,4,67,175
112454,1,83,5,17,197,9,84,940,3,48,617
112457,1,1,7,12,23,0,96,537,1,90,115
112456,1,1,8,5,444,7,69,6,9,34,345
112459,1,83,7,70,786,6,40,985,0,11,21
112458,2,1,5,75,197,9,84,260,7,5,688
92439,2,1,0,6,166,5,77,307,6,91,711
92438,2,441,0,6,166,5,77,710,6,91,711
92437,2,442,2,24,495,3,37,573,5,88,650
92436,0,12,4,97,436,4,17,852,4,7,57
92435,0,22,0,6,709,5,77,307,6,91,625
92434,2,95,4,97,369,4,57,828,4,7,282
92433,2,14,4,53,368,4,45,785,4,32,212
92432,2,14,4,14,368,4,46,398,4,32,212
92431,2,13,5,39,693,4,60,952,1,69,259
92430,2,106,8,11,214,2,48,667,0,0,885
2773182,2,1,0,22,257,0,64,38,1,65,246
111379,2,1,7,3,128,2,66,782,1,98,128
111378,1,83,5,63,993,9,32,291,7,58,243
111371,1,2,7,69,655,0,14,786,1,36,495
111370,1,5,0,54,395,0,32,45,1,36,495
111373,1,5,5,90,696,4,55,2,1,37,717
111372,1,5,7,81,801,0,13,156,9,64,433
111375,1,5,3,81,614,0,13,509,9,64,433
1279939,2,1,5,40,250,9,1,997,1,62,385
111377,1,1,0,70,87,3,44,770,1,87,500
111376,2,1,7,81,801,7,13,719,1,37,767
106883,1,2,0,69,473,0,43,820,8,35,437
106882,2,30,0,69,862,0,43,786,8,35,59
106881,1,2,0,69,862,0,43,786,8,35,59
106880,1,5,0,3,381,0,40,184,1,10,289
106887,1,9,0,70,381,0,40,184,1,10,289
106886,1,9,7,34,381,0,4,184,1,10,289
106885,2,1,2,24,792,3,83,174,5,70,362
106884,1,5,5,90,942,4,55,87,7,8,798
106889,1,5,2,24,932,3,83,145,5,70,754
106888,1,2,4,33,419,4,17,452,3,61,438
94598,0,12,7,9,749,6,64,985,0,11,21
94599,3,2,6,1,801,0,99,348,9,64,433
92293,2,6,7,81,801,6,98,411,0,0,530
92292,126,2264,4,99,358,4,46,416,4,32,15
92291,0,12,0,6,592,5,77,538,0,42,467
92290,2,144,0,6,351,5,77,92,0,42,467
92297,3,2,4,51,781,4,94,418,4,54,499
92296,0,444,4,14,358,4,46,416,4,32,406
92295,1,3,7,68,292,6,95,929,0,96,776
92294,2,1143,0,70,102,4,40,333,4,9,721
92299,1,2,7,59,199,6,13,959,0,11,71
92298,2,445,5,90,624,9,55,650,7,8,147
93748,2,144,7,9,399,9,64,719,0,74,90
93749,2,13,8,57,255,2,61,131,0,24,822
93746,2,7,3,89,417,7,69,6,9,34,420
93747,2,232,7,25,501,6,12,836,0,17,597
93744,2,42,4,33,419,4,57,452,3,61,438
93745,2,95,7,80,543,4,51,905,1,37,377
93742,0,22,7,17,640,9,13,409,8,35,454
93743,2,90,6,15,895,0,96,855,1,90,494
93740,2,447,6,22,520,9,64,399,1,65,47
93741,2,8,9,60,190,8,71,904,1,14,936
110426,1,2,7,87,801,0,24,509,9,64,433
110427,0,1,0,60,148,8,71,889,1,14,247
110424,1,1,7,78,142,1,21,86,0,12,371
110425,1,5,0,87,212,0,24,878,3,89,169
110422,2,80,0,69,862,0,43,786,8,35,59
110423,1,5,7,79,517,4,49,562,0,42,16
110420,1,1,4,97,96,4,57,868,4,7,747
110421,0,21,8,77,458,2,65,331,0,3,743
100830,0,36,7,81,277,6,13,760,0,0,530
107823,1,2,3,84,791,6,98,186,0,0,173
107820,2,30,9,4,807,8,70,527,2,85,234
100833,1,1,5,31,356,9,31,483,7,5,78
100834,0,1,0,69,473,0,43,820,8,35,437
107827,1,5,0,75,931,9,84,260,3,48,210
107824,1,2,5,75,931,9,84,260,3,48,210
107825,1,5,9,60,63,8,71,838,1,14,241
1997430,2,8,6,82,60,4,62,862,3,33,290
98738,2,12,9,60,958,8,71,739,1,14,622
98739,1,3,4,97,589,4,17,783,3,61,522
98736,2,76,7,69,973,0,43,786,8,35,703
98737,2,90,0,70,39,0,49,16,0,46,178
98734,2,76,5,63,215,9,84,291,7,58,243
98735,2,76,7,59,574,6,63,470,0,11,71
98732,0,22,7,69,973,9,43,555,8,55,199
98733,2,5,0,6,709,5,77,307,6,91,625
98730,0,69,0,12,338,0,81,787,1,29,177
98731,126,2264,5,31,333,9,31,718,7,58,930
101873,2,25,0,45,112,4,6,760,3,33,290
101872,0,12,4,97,727,6,17,663,4,7,747
101871,2,76,0,12,941,0,96,698,1,29,177
101870,0,21,4,14,863,4,46,715,4,7,211
101877,126,2264,4,59,822,6,63,789,0,72,18
101876,0,21,3,84,340,5,98,173,6,30,850
101875,2,1,8,46,230,2,76,248,0,24,822
101874,0,21,4,70,1,4,49,476,4,7,211
101879,2,1,8,77,178,2,65,408,1,40,261
101878,2,65,9,88,463,8,70,287,2,85,608
86528,103,1312,5,31,7,9,31,483,7,8,119
86529,126,2264,5,32,674,9,55,477,7,8,469
86520,2,290,8,81,130,2,13,156,0,17,2
86521,0,36,0,65,300,8,71,924,1,66,79
86522,126,2264,7,60,958,4,71,108,1,14,389
86523,2,1877,4,14,358,4,46,416,4,32,406
86524,7,5,2,34,556,7,13,455,0,74,640
86525,126,2264,8,41,220,2,20,353,1,36,709
86526,126,2264,4,47,237,6,60,41,0,74,777
86527,126,2264,4,52,909,6,67,737,1,98,517
106065,0,21,0,22,749,6,64,810,1,65,657
106064,1,2,7,3,254,8,39,816,1,50,135
106067,1,5,2,24,792,3,37,139,5,70,145
106066,0,1,2,23,582,3,15,565,5,70,145
106061,1,5,3,89,2,7,69,296,9,34,506
106060,0,52,4,14,368,4,46,398,4,32,212
106063,1,5,0,65,870,8,71,300,1,66,927
106062,2,30,0,70,242,8,40,165,1,66,36
106069,0,67,0,31,356,9,31,628,1,71,87
106068,0,35,9,19,916,8,36,259,2,13,28
102995,0,82,0,69,31,0,43,772,8,35,703
102994,2,7,4,52,165,4,57,726,4,7,57
102997,2,44,5,63,215,9,32,163,7,58,830
102996,0,22,0,63,215,9,32,291,7,58,830
102991,1,5,0,64,801,7,26,173,6,30,942
102990,1,5,5,17,260,9,56,940,3,48,210
102993,2,1,7,81,614,7,13,973,1,65,596
102992,1,1,7,81,348,3,92,639,1,10,307
102999,2,379,5,63,215,9,32,163,7,58,830
102998,1,1,0,63,842,9,32,477,1,36,581
89435,2,1310,0,63,842,0,32,477,1,36,581
112716,3,1,5,75,816,9,84,343,7,58,243
112717,1,59,5,40,439,9,1,578,8,55,941
112714,2,0,0,34,249,0,99,149,3,22,114
112715,2,1,6,17,694,0,56,978,1,37,285
112712,1,1,7,3,242,4,51,22,1,37,193
112713,1,2,4,52,1,4,57,476,4,7,211
112710,2,1,7,77,374,4,65,920,1,16,153
112711,2,1,6,17,260,9,56,229,3,48,999
89727,2,128,7,81,130,6,13,297,1,43,396
89726,2,13,7,9,49,9,64,550,1,65,122
89725,0,3,0,63,215,9,32,550,1,65,122
89724,3,112,6,17,801,0,56,509,9,64,433
89723,2,453,9,4,162,8,70,269,2,41,318
89722,3,31,0,15,612,0,39,659,1,25,76
112718,1,5,0,70,112,4,49,934,1,37,129
89720,1,2,2,24,792,3,83,658,5,70,512
103112,0,1,7,81,130,6,13,719,0,74,90
103113,0,3,7,59,700,3,40,470,0,11,71
103110,2,454,5,32,624,9,55,764,1,63,72
103111,0,455,7,46,39,2,49,694,0,46,178
103116,1,12,5,54,395,0,32,210,1,36,495
103117,1,12,7,81,840,9,13,835,0,42,131
103114,0,12,5,63,842,9,84,477,1,36,581
103115,0,1,0,63,842,9,32,477,1,36,581
85873,0,456,0,75,842,9,39,477,1,36,581
85872,2,234,5,63,842,9,32,477,1,36,581
85871,3,1248,6,17,931,9,56,940,3,48,617
103119,126,2264,6,17,931,9,56,940,3,48,617
85877,3,284,0,70,931,9,40,940,3,48,617
85876,47,457,5,75,197,9,84,940,3,48,617
85875,126,2264,0,70,931,9,84,940,3,48,617
85874,126,2264,5,32,21,9,29,155,7,4,531
89431,15,2200,5,90,778,9,55,616,7,8,469
812450,2,68,8,77,881,2,65,274,1,40,202
87732,4,458,4,53,911,4,98,876,4,80,46
87733,4,459,0,64,246,0,26,443,9,64,694
87730,0,156,3,81,545,0,13,724,9,64,433
87731,2,460,0,63,842,9,32,477,7,5,200
87736,2,7,7,75,39,9,84,477,7,5,688
87737,0,12,0,22,749,0,64,810,1,65,657
87734,126,2264,5,20,568,9,4,743,0,74,22
87735,126,2264,4,52,129,6,57,13,1,37,337
87738,2,461,5,32,911,9,55,153,7,8,119
87739,2,462,7,9,545,0,64,399,1,65,596
2620738,2,439,5,32,667,9,55,863,0,74,248
88458,126,2264,5,31,748,9,31,118,7,5,78
88459,0,2,0,70,913,3,40,137,1,78,273
88456,2,13,0,17,931,9,84,260,3,48,210
88457,126,2264,7,84,39,9,49,155,7,4,604
88454,2,337,2,44,671,3,35,319,1,20,156
88455,0,12,7,70,309,9,39,524,1,37,476
88452,12,463,0,70,258,6,51,338,0,0,201
88453,0,3,0,70,763,2,40,165,1,37,193
88450,126,2264,0,17,931,9,56,260,3,48,210
88451,3,464,5,82,433,9,89,372,3,77,121
103800,2,20,7,9,749,6,64,810,1,65,596
103801,3,2,7,81,801,6,13,724,0,72,18
103802,2,0,4,47,245,4,60,271,0,72,18
103803,2,13,7,3,840,0,51,835,0,42,131
88180,0,12,7,34,545,0,40,411,1,37,218
88181,0,97,5,40,439,9,1,119,8,55,199
88182,2,204,7,15,904,0,96,855,1,90,115
103807,2,467,0,87,232,0,24,878,1,90,115
103808,2,0,0,15,855,0,96,129,1,60,300
103809,0,36,0,12,941,0,96,129,1,60,300
88188,126,2264,5,32,624,6,55,155,7,4,531
88189,2,274,0,68,645,6,95,929,0,96,776
84830,126,2264,7,68,645,6,95,929,0,96,776
84831,126,2264,8,98,47,2,42,963,0,2,756
84832,126,2264,6,60,454,4,6,156,0,42,693
84833,126,2264,7,15,315,0,96,935,1,92,149
84834,126,2264,5,32,21,9,29,155,7,4,531
84835,126,2264,6,70,517,4,9,638,0,42,16
84836,126,2264,0,69,173,0,14,674,8,35,607
