,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000,hc_10,hc_100,hc_1000
84771,4,12,406,4,97,650,1,32,900
84770,4,31,579,4,48,208,1,1,579
108984,4,4,763,5,26,242,1,1,532
108985,4,4,564,4,25,974,1,8,418
108986,2,19,57,5,53,27,1,44,770
108987,4,31,728,4,94,589,1,87,740
108980,4,89,558,4,22,691,1,92,280
108981,4,46,280,3,59,240,1,20,396
108982,4,12,634,0,13,224,1,77,250
108983,7,52,533,4,51,592,1,44,62
108988,4,12,637,3,81,170,1,2,464
108989,9,25,659,4,86,694,1,31,45
91623,4,76,309,7,79,259,1,13,370
91622,9,7,210,2,73,768,1,1,410
106962,4,64,66,5,52,981,1,65,553
106161,9,22,703,2,56,36,2,27,49
106162,4,31,748,0,93,813,1,92,280
106163,9,25,662,3,58,258,1,9,110
106164,4,4,28,4,37,149,1,8,952
106165,4,35,53,1,6,166,1,1,247
106166,4,5,484,8,43,800,1,1,594
106167,4,12,162,4,48,730,1,44,770
106168,4,85,226,4,97,254,1,78,871
106169,4,2,683,8,43,104,1,1,247
106965,4,31,492,4,56,233,1,28,60
102670,4,45,459,5,71,184,5,51,565
102671,4,12,764,0,84,280,1,86,458
102672,4,10,322,8,34,441,1,17,808
102673,4,20,185,4,94,66,0,81,213
102674,4,4,529,6,42,629,1,1,217
102675,4,4,28,4,92,6,1,32,128
102677,4,31,823,0,37,15,1,2,464
102678,4,31,436,7,36,532,1,79,20
102679,4,89,558,4,18,691,1,70,512
106967,4,12,390,4,18,15,1,70,512
1446374,4,88,91,4,52,74,1,58,596
85914,4,31,945,4,97,15,1,41,179
85915,4,60,820,4,94,290,0,4,887
85916,4,4,149,8,53,816,1,1,975
85917,4,31,216,4,48,554,1,8,333
85910,5,11,540,1,22,627,1,93,836
85911,4,80,387,7,94,539,0,4,399
85912,4,50,217,1,95,480,1,8,433
85913,4,4,406,4,97,220,1,8,475
89060,9,22,331,2,69,111,1,34,57
89061,4,4,258,8,7,506,1,92,625
89062,4,4,256,4,48,554,1,8,225
89063,4,21,742,4,25,675,1,58,339
85918,4,21,742,4,52,675,1,76,398
85919,4,66,295,5,51,604,1,88,37
89066,4,19,652,8,20,896,1,1,355
89067,5,35,128,1,6,733,1,0,466
103079,4,4,212,6,7,128,1,8,307
87459,4,4,816,8,43,761,1,69,261
87458,4,31,748,4,51,300,1,70,276
109767,4,73,151,0,84,560,1,2,464
87456,4,10,942,2,74,850,4,95,891
109765,4,93,554,8,47,251,1,68,469
87454,4,4,97,0,71,521,1,89,703
109763,4,12,162,6,7,74,1,49,16
87452,4,5,702,1,28,239,1,1,13
109761,4,40,46,5,20,32,1,1,355
109760,4,72,964,7,36,582,1,59,852
108852,4,63,866,8,10,905,1,11,160
108853,4,72,475,5,36,789,1,59,451
108850,4,97,336,8,20,374,1,76,378
103695,4,12,162,6,7,74,1,49,16
103694,4,12,162,8,20,749,1,49,867
103697,4,21,742,4,62,675,1,8,421
103696,4,4,28,6,7,65,1,8,307
103691,4,31,823,2,0,891,1,1,181
103690,4,4,910,8,31,816,1,1,13
103693,4,31,823,4,52,870,1,66,132
103692,4,4,440,4,52,816,1,63,837
108856,5,44,224,1,12,855,1,87,740
103699,4,4,212,8,20,128,1,76,103
103698,4,4,79,7,63,946,1,1,355
89973,4,60,701,4,94,278,0,81,908
88339,4,4,322,4,78,270,6,54,97
88338,4,4,439,4,52,230,1,71,54
108854,4,4,258,8,20,506,1,8,421
88333,9,5,890,4,78,213,1,44,770
88332,4,88,244,4,52,74,1,58,65
88331,4,5,153,8,78,221,1,1,217
108855,4,53,894,8,43,568,1,47,658
88337,4,59,640,8,51,400,1,68,780
88336,4,93,640,8,47,225,1,68,469
88335,4,89,823,6,90,478,1,1,271
88334,4,4,440,4,18,56,1,8,475
100528,4,56,288,5,55,598,1,1,875
100529,4,4,47,8,31,816,1,69,261
100526,4,4,152,5,55,906,1,1,217
100527,4,4,564,4,48,418,1,8,475
100524,4,4,772,4,25,418,1,8,421
100525,4,20,34,2,94,66,0,81,213
100522,4,21,742,4,62,675,1,1,355
100523,4,31,436,4,8,916,1,87,740
100520,4,4,775,4,0,663,1,1,314
100521,4,4,564,4,48,418,1,8,952
1508927,4,31,698,5,28,659,1,1,824
86328,4,47,909,2,48,817,0,81,30
86329,4,4,47,8,52,6,1,1,975
86326,4,24,158,8,93,377,1,6,176
86327,7,52,285,8,71,217,1,39,563
86324,4,40,46,5,20,811,9,98,211
86325,4,4,28,4,10,730,1,1,732
86322,4,4,284,4,52,967,1,71,178
86323,4,4,823,0,13,280,1,0,861
86320,4,4,47,8,62,6,1,1,13
86321,4,2,105,8,20,496,1,40,228
90408,7,39,11,8,51,489,1,39,899
90409,4,10,322,4,52,441,1,8,418
90400,4,63,416,4,48,690,1,11,312
90401,4,4,440,4,52,56,1,66,120
90402,4,40,923,5,20,704,1,53,193
90404,4,67,260,0,55,362,1,45,3
90405,4,21,175,4,62,689,1,1,13
90406,4,73,151,2,74,179,1,2,624
90407,4,4,772,4,48,418,1,0,861
101699,4,59,69,8,43,496,1,1,824
101698,4,40,803,5,20,229,9,98,211
101697,4,40,874,5,20,725,6,54,97
101696,4,4,28,4,52,74,0,4,256
101695,4,4,28,6,7,341,4,95,258
101694,4,97,336,8,20,352,1,1,331
101690,4,4,149,8,20,749,1,1,331
101349,4,0,346,9,40,498,1,1,446
101348,4,97,105,8,20,901,1,17,808
101341,9,25,726,2,8,123,1,9,957
101340,4,4,92,0,99,636,1,77,53
101343,4,31,945,4,18,974,1,8,418
101342,4,4,719,4,18,639,1,1,934
101345,4,31,945,4,94,175,1,44,191
101344,4,31,216,4,56,870,1,8,17
101347,4,64,66,5,52,864,1,65,409
101346,4,64,66,5,52,864,1,65,409
2365229,4,60,728,4,94,678,0,4,126
91552,4,64,66,5,52,53,1,65,409
85147,4,10,30,6,52,677,1,8,470
85146,4,53,918,8,78,422,1,8,421
85145,5,19,266,3,53,409,1,8,418
85144,4,12,764,0,13,619,1,86,458
85143,4,2,683,8,43,104,1,1,331
85142,4,4,719,8,93,523,1,63,489
85141,4,12,440,2,74,891,1,1,181
85140,4,56,714,5,55,598,1,79,20
85149,9,69,96,6,58,654,1,53,202
85148,4,63,581,4,48,394,1,1,146
134729,4,60,728,4,94,290,1,87,497
134728,4,4,772,4,17,418,1,47,658
134727,4,35,779,5,22,79,1,76,398
134726,4,63,805,4,67,75,1,6,663
134725,4,4,728,4,94,589,1,87,740
134724,7,31,15,4,51,332,1,38,28
134723,4,4,28,4,18,816,1,5,822
134722,4,48,305,5,20,450,1,1,355
97999,4,21,175,4,62,939,1,8,285
97998,4,4,772,4,94,589,1,1,355
97997,4,4,728,4,94,589,1,1,146
97996,4,40,46,5,20,811,1,1,355
97995,4,4,28,6,7,74,1,1,355
97994,4,12,260,6,79,362,1,45,3
97993,4,4,775,4,31,663,6,54,468
97992,4,4,28,4,7,393,1,1,217
97991,4,21,742,4,62,689,1,58,339
97990,4,10,530,8,20,186,1,56,734
1639543,4,4,391,2,29,867,1,9,957
103291,4,4,579,4,48,208,1,8,333
109456,4,31,378,4,18,755,1,8,307
94879,4,31,945,4,48,233,1,8,307
94878,4,4,28,0,42,357,1,49,16
94875,4,4,28,4,31,738,1,1,217
94874,7,39,77,8,78,489,6,54,877
94877,4,63,440,4,48,56,1,16,214
94876,4,4,728,4,48,589,1,71,675
94871,4,4,28,4,7,74,1,49,207
94870,4,4,761,0,91,151,1,8,720
94873,4,47,375,2,48,25,0,81,81
94872,4,59,614,8,43,496,1,1,355
2421008,4,89,378,4,18,755,1,8,307
1216059,4,89,212,6,39,128,1,41,50
111657,4,19,652,4,52,409,1,32,128
111658,4,4,544,8,20,440,1,8,952
111659,4,4,390,4,18,15,1,70,512
95838,4,65,111,3,25,152,1,1,494
95839,4,35,779,2,43,79,1,30,180
95832,0,34,627,5,97,951,1,55,224
95833,4,12,162,6,7,74,1,49,16
95830,4,4,973,8,20,901,1,40,51
95831,4,4,322,4,52,816,1,1,355
95836,2,9,24,4,18,583,1,1,94
95837,4,21,742,6,62,689,1,32,56
95834,4,12,338,5,31,364,6,48,749
95835,4,31,945,4,0,175,1,9,82
89503,4,40,876,5,20,296,1,1,974
89502,9,73,366,2,74,921,1,9,672
89501,4,81,332,8,82,322,1,80,508
89500,4,24,717,8,93,848,1,76,581
89507,4,31,945,4,18,974,1,8,285
89506,4,31,945,4,56,300,2,52,839
89505,4,4,256,8,31,730,1,1,915
89504,4,31,200,8,20,229,1,1,824
89509,4,31,823,4,86,233,1,8,225
89508,4,85,9,4,22,650,1,1,446
2656036,4,4,439,4,52,230,1,71,54
110299,4,31,888,4,83,175,0,4,666
110298,4,0,346,9,40,260,1,8,421
110295,4,72,475,5,36,582,1,79,937
110294,4,31,216,4,48,870,1,8,17
110297,4,19,652,8,20,896,1,1,355
110296,4,4,322,4,22,816,1,1,205
110291,4,59,319,8,43,729,1,1,355
110290,4,5,484,8,78,424,1,66,132
110293,4,72,335,5,36,789,1,79,937
110292,4,59,614,8,43,68,1,53,32
92824,4,89,517,8,46,912,1,32,56
92825,4,31,395,4,83,417,1,1,498
92826,4,4,544,6,18,440,1,8,307
92827,4,4,823,4,94,233,1,8,470
92820,2,29,794,4,2,724,1,8,433
