,km_10,km_100,km_1000,gmm_10,gmm_100,gmm_1000,hc_10,hc_100,hc_1000
93005,0,76,784,9,28,589,2,6,185
93004,0,76,952,9,1,266,1,27,224
104344,0,76,952,9,1,156,4,9,308
118471,0,67,653,4,12,983,2,25,537
96078,8,60,207,0,18,11,5,42,517
104342,0,68,694,9,14,942,4,9,842
104343,9,17,358,4,49,921,2,8,213
105345,4,80,248,3,33,769,4,33,519
105344,9,8,795,4,81,253,2,44,742
105347,9,8,643,4,81,80,2,44,742
105346,9,17,287,4,9,71,2,85,661
105341,8,51,207,0,18,11,5,42,517
105340,9,8,903,4,28,118,2,6,196
105343,8,6,392,0,7,433,5,42,818
105342,8,60,992,0,60,917,4,18,620
93002,8,68,292,0,60,30,4,18,41
105349,0,16,756,9,47,193,4,36,52
105348,7,5,970,4,64,778,2,6,159
118472,0,67,101,9,12,983,2,25,537
84710,4,43,875,1,51,715,2,16,678
1614072,4,43,248,1,51,715,2,16,678
86409,0,50,154,7,69,217,1,49,227
86408,9,17,358,4,49,921,2,8,378
106954,4,50,513,7,69,217,1,49,445
86403,4,51,215,5,71,527,5,76,750
86402,4,50,704,3,73,209,1,49,532
86401,0,67,101,9,12,449,2,25,738
86400,0,16,434,9,83,913,2,6,370
86407,0,2,194,9,17,594,0,30,612
86406,9,8,243,4,28,843,2,25,746
86405,0,17,729,4,49,557,2,8,397
86404,0,51,35,9,1,202,4,9,832
106951,4,17,785,3,78,175,1,7,77
106950,0,73,89,4,0,208,0,5,383
106953,8,6,668,0,18,947,4,23,979
106952,9,17,983,4,9,71,2,44,434
108470,8,76,212,0,7,670,5,56,414
108471,4,31,410,3,25,377,2,85,778
108472,9,34,442,4,26,914,2,73,860
108473,8,76,442,0,22,722,5,56,414
108474,9,17,729,4,9,71,2,8,213
108475,9,59,287,4,48,340,2,85,661
108476,9,98,649,4,91,291,9,11,141
108477,9,8,33,4,12,196,5,35,898
108478,0,67,718,9,12,869,2,25,537
108479,9,34,462,4,26,914,2,73,353
103492,9,34,462,4,26,914,2,73,353
89008,9,34,462,4,26,914,2,73,353
89009,0,19,815,9,97,983,4,36,900
89006,9,98,581,4,91,658,2,6,438
89007,0,67,170,9,12,117,2,78,879
89004,8,76,748,9,49,611,4,59,251
89005,0,76,512,9,97,861,2,31,522
89002,9,13,62,4,30,899,2,44,262
89003,0,67,718,9,12,869,2,25,537
89000,4,67,159,1,12,679,2,25,831
89001,4,51,215,4,71,527,5,76,932
87439,0,91,364,9,80,81,4,36,600
87438,9,13,200,4,81,80,2,75,367
87435,4,42,11,7,38,925,1,7,520
87434,9,8,750,4,9,770,2,48,60
87437,8,83,635,0,22,537,4,9,781
87436,4,0,154,3,69,124,0,61,668
87431,0,19,867,9,83,268,4,36,363
87430,7,5,521,7,64,351,9,71,896
87433,9,51,604,4,10,37,5,37,909
87432,9,13,62,4,30,80,2,75,367
108826,7,64,879,7,54,100,9,14,152
108825,0,52,765,9,1,3,9,71,205
108824,9,73,730,4,0,542,0,5,383
108823,7,52,774,7,16,998,9,60,413
108822,8,60,625,0,60,917,4,18,620
89963,7,97,804,7,4,360,9,11,8
89962,0,67,718,9,12,576,2,25,537
91061,9,35,755,4,62,782,2,57,144
97119,0,67,283,9,12,869,2,25,746
97118,4,50,704,1,73,209,1,49,532
97117,0,16,7,9,1,494,4,36,363
97116,7,45,885,7,16,822,9,60,758
97115,4,59,811,9,36,851,2,48,752
97114,9,8,189,4,87,465,4,9,123
97113,8,96,549,0,45,913,5,87,100
97112,9,8,87,4,26,214,9,71,484
97111,9,43,29,4,94,79,2,13,180
97110,9,34,462,4,26,914,2,73,353
100580,8,34,442,0,26,205,2,73,687
100582,4,40,929,7,84,375,5,58,560
100583,4,98,703,3,48,829,2,85,267
100584,0,19,829,9,97,292,4,36,52
100585,0,16,101,9,83,983,4,36,52
100586,9,51,215,4,71,875,5,76,750
100587,7,5,784,7,64,730,9,11,914
100588,9,34,87,4,26,678,2,44,320
91064,9,42,822,4,28,465,2,6,7
91067,7,5,175,7,64,313,9,60,648
91066,0,52,558,9,16,3,4,36,692
88067,4,2,417,9,17,312,0,30,137
88066,8,83,53,0,22,537,5,56,430
88065,4,84,65,3,79,415,2,95,169
88064,0,19,896,9,47,259,9,60,365
88063,4,47,11,3,33,65,4,23,219
88062,9,17,214,4,48,845,2,85,661
88061,7,45,126,7,4,734,9,92,647
88060,4,41,720,3,52,807,2,54,475
88069,9,8,842,4,81,263,2,6,222
88068,4,80,861,3,33,549,4,23,853
100058,7,97,147,7,4,295,9,11,970
100059,4,50,704,1,73,209,2,8,691
86388,0,31,410,3,47,120,2,85,778
86389,9,73,730,4,0,208,0,5,383
86384,9,51,215,4,71,875,5,76,200
86385,0,20,711,9,19,411,1,77,108
86386,9,13,62,4,30,183,2,75,367
86387,4,43,248,3,51,715,2,16,678
86380,9,17,604,4,9,998,2,8,213
86381,9,8,903,4,81,346,2,6,159
86382,9,17,774,4,9,998,2,8,213
86383,7,52,804,7,16,360,9,11,203
90468,0,17,232,9,49,557,2,8,397
90469,0,93,607,9,24,725,3,80,47
90466,0,76,952,9,1,149,3,22,210
90467,8,60,384,0,60,149,4,18,884
90464,0,76,313,0,97,696,2,8,236
90465,0,19,569,9,97,993,2,6,222
90462,7,52,80,9,16,802,9,60,805
90463,7,97,804,7,4,360,9,11,203
90460,7,97,804,7,4,360,9,11,203
90461,7,97,804,7,4,360,9,11,203
112918,4,41,720,9,52,186,2,54,475
112919,9,8,795,4,81,727,2,44,262
112914,9,76,287,4,9,340,2,44,684
112915,9,98,550,4,91,263,2,6,438
112916,9,8,643,4,9,71,2,44,684
112917,4,51,513,9,69,217,1,49,445
112910,0,52,558,9,16,3,9,60,470
112911,0,67,718,9,12,869,2,25,537
112912,4,42,329,3,87,940,1,41,799
112913,9,13,62,4,30,80,2,75,469
85125,0,52,680,9,16,3,5,35,124
85124,0,52,680,9,28,3,5,35,124
85127,7,97,371,7,54,295,9,14,973
85126,9,34,10,4,9,223,2,8,247
85121,7,45,245,7,16,129,9,92,647
85120,9,85,250,7,53,142,9,14,498
